Symbol,Side,TF,Touch Time,Close
360ONE,BUY,1d,2026-05-14T00:00:00.000,1102.1
ABCAPITAL,BUY,1d,2026-05-14T00:00:00.000,349.65
ABSLAMC,BUY,1d,2026-05-14T00:00:00.000,1068.2
ADANIENSOL,BUY,1d,2026-05-14T00:00:00.000,1319.1
AWL,BUY,1d,2026-05-14T00:00:00.000,200.81
BOSCHLTD,BUY,1d,2026-05-14T00:00:00.000,36945
CESC,BUY,1d,2026-05-14T00:00:00.000,184.46
CLEAN,BUY,1d,2026-05-14T00:00:00.000,818
DRREDDY,BUY,1d,2026-05-14T00:00:00.000,1303.6
ENGINERSIN,BUY,1d,2026-05-14T00:00:00.000,254.05
FINEORG,BUY,1d,2026-05-14T00:00:00.000,4714.6
GLENMARK,BUY,1d,2026-05-14T00:00:00.000,2340.6
HEG,BUY,1d,2026-05-14T00:00:00.000,617.65
IEX,BUY,1d,2026-05-14T00:00:00.000,128.44
INDUSINDBK,BUY,1d,2026-05-14T00:00:00.000,907.9
IPCALAB,BUY,1d,2026-05-14T00:00:00.000,1583.9
KEI,BUY,1d,2026-05-14T00:00:00.000,5144.7
LINDEINDIA,BUY,1d,2026-05-14T00:00:00.000,7413.5
MANYAVAR,BUY,1d,2026-05-14T00:00:00.000,442.55
NCC,BUY,1d,2026-05-14T00:00:00.000,162.2
PAYTM,BUY,1d,2026-05-14T00:00:00.000,1144.6
POWERINDIA,BUY,1d,2026-05-14T00:00:00.000,32290
POWERMECH,BUY,1d,2026-05-14T00:00:00.000,2450.2
RAILTEL,BUY,1d,2026-05-14T00:00:00.000,328.65
RBLBANK,BUY,1d,2026-05-14T00:00:00.000,337.2
RPOWER,BUY,1d,2026-05-14T00:00:00.000,27.86
SAREGAMA,BUY,1d,2026-05-14T00:00:00.000,384.55
SIEMENS,BUY,1d,2026-05-14T00:00:00.000,3693.8
SOBHA,BUY,1d,2026-05-14T00:00:00.000,1402.8
SUZLON,BUY,1d,2026-05-14T00:00:00.000,53.47
TRENT,BUY,1d,2026-05-14T00:00:00.000,4132.4
HINDPETRO,SELL,1d,2026-05-14T00:00:00.000,377.55
METROPOLIS,SELL,1d,2026-05-14T00:00:00.000,540.7
