date,dte,atm,expiry,entry_time,spot_move,level,sl,pnl,rupees,outcome,control_1230
2025-09-03,6,24600,2025-09-09,12:35,0.051,241.55,238.0,-3.55,-266.0,SL,-3.55
2025-09-08,1,24800,2025-09-09,12:35,0.103,127.5,123.95,-3.55,-266.0,SL,-3.55
2025-09-11,5,24950,2025-09-16,12:30,0.253,214.7,211.0,-3.7,-277.0,SL,-3.4
2025-09-15,1,25150,2025-09-16,13:50,0.067,110.55,108.9,-1.65,-124.0,SL,0.0
2025-09-16,0,25100,2025-09-16,12:30,0.444,114.1,108.15,-5.95,-446.0,SL,-7.75
2025-09-17,6,25300,2025-09-23,12:30,0.184,224.1,223.15,-0.95,-71.0,SL,-2.45
2025-09-18,5,25450,2025-09-23,12:40,0.113,173.2,169.2,-4.0,-300.0,SL,-0.7
2025-09-19,4,25400,2025-09-23,12:50,0.497,167.2,163.6,-3.6,-270.0,SL,-3.7
2025-09-22,1,25250,2025-09-23,12:40,0.122,128.75,122.95,-5.8,-435.0,SL,-1.6
2025-09-23,0,25250,2025-09-23,14:55,0.267,67.15,49.9,13.4,1005.0,EOD,0.0
2025-09-24,6,25150,2025-09-30,13:15,0.176,216.85,214.45,-2.4,-180.0,SL,-0.4
2025-09-25,5,25050,2025-09-30,14:10,0.253,192.85,188.25,11.05,829.0,EOD,-0.6
2025-09-26,4,24800,2025-09-30,13:40,0.26,172.2,169.55,39.15,2936.0,EOD,-0.2
2025-09-29,1,24700,2025-09-30,14:20,0.271,136.1,131.5,-4.6,-345.0,SL,0.0
2025-09-30,0,24700,2025-09-30,14:10,0.141,80.3,71.45,-8.85,-664.0,SL,-0.25
2025-10-01,6,24650,2025-10-07,12:40,0.587,273.55,265.0,-8.55,-641.0,SL,-0.4
2025-10-03,4,24800,2025-10-07,14:40,0.173,164.2,155.9,9.65,724.0,EOD,-0.7
2025-10-06,1,24900,2025-10-07,12:35,0.312,161.3,158.25,45.75,3431.0,EOD,45.75
2025-10-07,0,25100,2025-10-07,12:55,0.325,86.25,78.45,-7.8,-585.0,SL,-4.6
2025-10-09,5,25050,2025-10-14,12:35,0.275,227.15,226.1,-1.05,-79.0,SL,-0.75
2025-10-13,1,25200,2025-10-14,14:50,0.014,130.2,128.9,-1.3,-98.0,SL,-1.1
2025-10-15,5,25200,2025-10-20,12:40,0.494,272.9,269.6,-3.3,-247.0,SL,-2.9
2025-10-16,4,25400,2025-10-20,12:30,0.382,227.35,224.2,40.15,3011.0,EOD,30.8
2025-10-20,0,25800,2025-10-20,12:50,0.121,101.2,98.15,-3.05,-229.0,SL,-2.0
2025-10-23,5,26050,2025-10-28,12:30,0.115,259.6,253.8,-5.8,-435.0,SL,-0.5
2025-10-24,4,25950,2025-10-28,12:55,0.388,205.3,201.1,17.95,1346.0,EOD,-0.7
2025-10-27,1,25850,2025-10-28,14:25,0.462,211.1,198.2,-12.9,-968.0,SL,-14.1
2025-10-28,0,25950,2025-10-28,13:55,0.275,91.15,81.25,-9.9,-742.0,SL,0.0
2025-10-30,5,26000,2025-11-04,13:30,0.378,259.1,255.55,-3.55,-266.0,SL,-4.25
2025-10-31,4,25850,2025-11-04,15:00,0.315,206.0,203.45,-2.55,-191.0,SL,-0.8
2025-11-03,1,25700,2025-11-04,14:00,0.059,166.2,160.65,-5.55,-416.0,SL,0.0
2025-11-04,0,25750,2025-11-04,14:05,0.361,108.4,96.9,43.75,3281.0,EOD,-1.1
2025-11-07,4,25450,2025-11-11,13:35,0.093,207.85,203.8,-4.05,-304.0,SL,0.0
2025-11-10,1,25500,2025-11-11,12:30,0.468,188.0,184.85,-3.15,-236.0,SL,-4.1
2025-11-11,0,25600,2025-11-11,13:50,0.146,86.6,61.6,-25.0,-1875.0,SL,0.0
2025-11-12,6,25800,2025-11-18,12:30,0.301,303.35,297.5,-5.85,-439.0,SL,-2.0
2025-11-13,5,25900,2025-11-18,13:00,0.291,270.0,264.25,-5.75,-431.0,SL,0.0
2025-11-14,4,25800,2025-11-18,15:05,0.204,235.7,220.8,-4.8,-360.0,EOD,-0.7
2025-11-17,1,25950,2025-11-18,12:55,0.087,153.8,151.4,-2.4,-180.0,SL,-2.4
2025-11-18,0,26000,2025-11-18,14:50,0.257,58.4,52.55,31.55,2366.0,EOD,-5.15
2025-11-19,6,25950,2025-11-25,12:30,0.32,302.6,300.05,-2.55,-191.0,SL,-4.0
2025-11-20,5,26150,2025-11-25,13:25,0.129,246.8,243.0,1.4,105.0,EOD,-1.9
2025-11-21,4,26100,2025-11-25,12:50,0.105,218.75,216.4,-2.35,-176.0,SL,-0.8
