Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
INFY,1d,EMA21/EMA50,2024-06-21 00:00:00,2024-10-01 00:00:00,1875.0,1908.95,1875.0,1904.35,1901.48,1852.01,Between Slow & Fast EMA,70,,,1904.35,1870.5,1.78,prior swing low @ 2024-09-30 00:00:00,1990.05,2.53,TARGET HIT,Not Hit,2024-10-15 00:00:00,1991.45,4.5,9d
INFY,1d,EMA21/EMA50,2024-06-21 00:00:00,2024-10-04 00:00:00,1889.55,1954.1,1886.0,1918.15,1902.32,1856.16,Between Slow & Fast EMA,72,,,1918.15,1870.5,2.48,prior swing low @ 2024-09-30 00:00:00,2004.47,1.81,SL HIT,2024-10-18 00:00:00,Not Hit,1991.45,-2.48,10d
INFY,1d,EMA21/EMA50,2024-06-21 00:00:00,2024-10-08 00:00:00,1937.9,1957.95,1906.35,1948.55,1909.17,1862.73,Between Slow & Fast EMA,74,,,1948.55,1870.5,4.01,prior swing low @ 2024-09-30 00:00:00,2036.23,1.12,SL HIT,2024-10-18 00:00:00,Not Hit,1991.45,-4.01,8d
INFY,1d,EMA21/EMA50,2024-06-21 00:00:00,2024-10-11 00:00:00,1918.0,1947.0,1910.1,1935.1,1915.61,1870.94,Between Slow & Fast EMA,77,,,1935.1,1910.1,1.29,touch is swing low,2022.18,3.48,SL HIT,2024-10-18 00:00:00,Not Hit,1991.45,-1.29,5d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-14 00:00:00,828.02,846.02,827.0,844.05,840.32,833.01,At/Below Slow EMA,95,,,844.05,806.5,4.45,prior swing low @ 2024-10-07 00:00:00,882.03,1.01,TARGET HIT,Not Hit,2024-10-24 00:00:00,884.33,4.5,8d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-10-15 00:00:00,1238.95,1258.3,1235.4,1255.5,1255.43,1241.34,At/Below Slow EMA,194,,,1255.5,1217.4,3.03,prior swing low @ 2024-10-14 00:00:00,1312.0,1.48,TARGET HIT,Not Hit,2024-10-29 00:00:00,1335.35,4.5,10d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-16 00:00:00,840.05,853.98,840.05,849.9,841.33,834.01,Between Slow & Fast EMA,97,,,849.9,806.5,5.11,prior swing low @ 2024-10-07 00:00:00,888.15,0.88,TARGET HIT,Not Hit,2024-11-11 00:00:00,891.4,4.5,18d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-10-18 00:00:00,1227.95,1268.9,1225.25,1264.5,1253.33,1241.94,At/Below Slow EMA,197,,,1264.5,1224.4,3.17,prior swing low @ 2024-10-17 00:00:00,1321.4,1.42,TARGET HIT,Not Hit,2024-10-29 00:00:00,1335.35,4.5,7d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-18 00:00:00,831.55,845.5,827.05,840.92,840.9,834.38,At/Below Slow EMA,99,,,840.92,827.05,1.65,touch is swing low,878.76,2.73,TARGET HIT,Not Hit,2024-10-24 00:00:00,884.33,4.5,4d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-10-25 00:00:00,1247.25,1268.9,1234.2,1255.45,1254.67,1244.68,At/Below Slow EMA,202,,,1255.45,1234.2,1.69,touch is swing low,1311.95,2.66,TARGET HIT,Not Hit,2024-10-29 00:00:00,1335.35,4.5,2d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,859.82,847.36,Between Slow & Fast EMA,111,,,878.92,848.95,3.41,touch is swing low,918.47,1.32,SL HIT,2024-11-13 00:00:00,Not Hit,891.4,-3.41,6d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-11-05 00:00:00,1273.0,1301.3,1263.1,1296.7,1275.59,1257.85,Between Slow & Fast EMA,209,,,1296.7,1263.1,2.59,touch is swing low,1355.05,1.74,SL HIT,2024-11-08 00:00:00,Not Hit,1315.0,-2.59,3d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-19 00:00:00,857.0,876.88,851.35,871.12,861.48,852.31,At/Below Slow EMA,120,,,871.12,836.05,4.03,prior swing low @ 2024-11-14 00:00:00,910.32,1.12,TARGET HIT,Not Hit,2024-11-28 00:00:00,918.05,4.5,6d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-11-22 00:00:00,1258.0,1281.4,1256.0,1278.05,1267.65,1260.23,At/Below Slow EMA,220,,,1278.05,1232.55,3.56,prior swing low @ 2024-11-21 00:00:00,1335.56,1.26,TARGET HIT,Not Hit,2024-12-05 00:00:00,1342.9,4.5,9d
INFY,1d,EMA21/EMA50,2024-11-27 00:00:00,2024-12-02 00:00:00,1859.0,1882.8,1835.2,1879.8,1863.8,1860.4,At/Below Slow EMA,3,,,1879.8,1835.2,2.37,touch is swing low,1964.39,1.9,TARGET HIT,Not Hit,2024-12-10 00:00:00,1965.6,4.5,6d
TCS,1d,EMA21/EMA50,2024-12-02 00:00:00,2024-12-18 00:00:00,4311.7,4362.0,4289.6,4347.85,4338.84,4274.1,Between Slow & Fast EMA,12,,,4347.85,4195.65,3.5,prior swing low @ 2024-11-29 00:00:00,4543.5,1.29,SL HIT,2024-12-20 00:00:00,Not Hit,4382.0,-3.5,2d
