Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %
HDFCBANK,19.0,4.0,15.0,0.0,21.1,0.93,1.49,-0.46,-8.83
ICICIBANK,28.0,17.0,10.0,1.0,60.7,1.54,1.15,0.18,5.14
INFY,26.0,10.0,16.0,0.0,38.5,1.2,1.3,-0.18,-4.72
RELIANCE,31.0,10.0,20.0,0.0,32.3,1.09,1.18,-0.28,-8.76
TCS,24.0,12.0,12.0,0.0,50.0,1.31,0.97,-0.13,-3.01
