Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,2026-03-06 13:15:00,1307.9,1311.8,1305.4,1310.0,,,Between Slow & Fast EMA,16,1308.19,1305.06,1310.0,1305.4,0.35,touch is swing low,1323.1,2.85,SL HIT,2026-03-09 09:15:00,Not Hit,1314.5,-0.35,3h
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,2026-03-06 15:15:00,1404.8,1409.7,1401.0,1407.0,,,Between Slow & Fast EMA,8,1402.56,1392.84,1407.0,1376.1,2.2,prior swing low @ 2026-03-05 14:15:00,1421.07,0.46,SL HIT,2026-03-09 09:15:00,Not Hit,1412.9,-2.2,1h
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,2026-03-06 15:15:00,1310.0,1312.4,1306.6,1311.0,,,Between Slow & Fast EMA,18,1308.95,1306.04,1311.0,1305.4,0.43,prior swing low @ 2026-03-06 13:15:00,1324.11,2.34,SL HIT,2026-03-09 09:15:00,Not Hit,1300.7,-0.43,1h
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,2026-03-09 12:15:00,1398.8,1407.9,1397.0,1403.7,,,Between Slow & Fast EMA,12,1401.33,1395.26,1403.7,1375.0,2.04,prior swing low @ 2026-03-09 09:15:00,1417.74,0.49,TARGET HIT,Not Hit,2026-03-09 14:15:00,1429.0,1.0,2h
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,2026-03-09 13:15:00,1403.6,1410.2,1402.3,1408.7,,,Between Slow & Fast EMA,13,1402.67,1396.54,1408.7,1375.0,2.39,prior swing low @ 2026-03-09 09:15:00,1422.79,0.42,TARGET HIT,Not Hit,2026-03-09 14:15:00,1429.0,1.0,1h
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,2026-03-10 13:15:00,1408.3,1415.8,1407.3,1414.0,,,Between Slow & Fast EMA,20,1410.79,1405.37,1414.0,1405.8,0.58,prior swing low @ 2026-03-10 12:15:00,1428.14,1.72,SL HIT,2026-03-10 15:15:00,Not Hit,1415.3,-0.58,2h
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,2026-03-10 15:15:00,1408.6,1412.2,1405.7,1410.9,,,At/Below Slow EMA,22,1410.47,1406.17,1410.9,1405.8,0.36,prior swing low @ 2026-03-10 12:15:00,1425.01,2.77,AMBIGUOUS (same candle),2026-03-11 09:15:00,2026-03-11 09:15:00,1433.6,1.78,266h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-17 11:15:00,840.15,841.05,835.15,840.6,,,Between Slow & Fast EMA,4,835.97,833.43,840.6,835.15,0.65,touch is swing low,849.01,1.54,SL HIT,2026-03-18 09:15:00,Not Hit,848.7,-0.65,5h
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,2026-03-17 12:15:00,1393.7,1400.8,1388.2,1400.2,,,At/Below Slow EMA,2,1392.83,1391.77,1400.2,1388.2,0.86,touch is swing low,1414.2,1.17,SL HIT,2026-03-19 09:15:00,Not Hit,1412.9,-0.86,11h
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,2026-03-18 09:15:00,1397.2,1412.1,1397.2,1406.5,,,Between Slow & Fast EMA,6,1397.69,1395.0,1406.5,1392.3,1.01,prior swing low @ 2026-03-17 15:15:00,1420.57,0.99,SL HIT,2026-03-19 09:15:00,Not Hit,1412.9,-1.01,7h
ICICIBANK,1h,EMA10/EMA20,2026-03-17 11:15:00,2026-03-18 10:15:00,1272.6,1290.6,1272.0,1289.3,,,At/Below Slow EMA,6,1280.82,1276.55,1289.3,1271.0,1.42,prior swing low @ 2026-03-18 09:15:00,1302.19,0.7,SL HIT,2026-03-19 09:15:00,Not Hit,1297.0,-1.42,6h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-18 11:15:00,838.55,842.1,837.75,840.65,,,Between Slow & Fast EMA,11,839.54,837.35,840.65,831.65,1.07,prior swing low @ 2026-03-18 09:15:00,849.06,0.93,SL HIT,2026-03-19 09:15:00,Not Hit,846.8,-1.07,5h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-18 12:15:00,840.7,841.7,838.75,841.2,,,Between Slow & Fast EMA,12,839.84,837.72,841.2,831.65,1.14,prior swing low @ 2026-03-18 09:15:00,849.61,0.88,SL HIT,2026-03-19 09:15:00,Not Hit,846.8,-1.14,4h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-18 13:15:00,841.05,844.45,840.45,844.3,,,Between Slow & Fast EMA,13,840.65,838.35,844.3,831.65,1.5,prior swing low @ 2026-03-18 09:15:00,852.74,0.67,SL HIT,2026-03-19 09:15:00,Not Hit,846.8,-1.5,3h
ICICIBANK,1h,EMA10/EMA20,2026-03-17 11:15:00,2026-03-18 15:15:00,1289.1,1293.9,1286.0,1292.0,,,Between Slow & Fast EMA,11,1287.61,1282.46,1292.0,1271.0,1.63,prior swing low @ 2026-03-18 09:15:00,1304.92,0.62,SL HIT,2026-03-19 09:15:00,Not Hit,1285.9,-1.63,1h
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,2026-03-19 09:15:00,1388.0,1408.0,1388.0,1406.5,,,At/Below Slow EMA,13,1405.7,1401.84,1406.5,1388.0,1.32,touch is swing low,1420.57,0.76,SL HIT,2026-03-19 14:15:00,Not Hit,1415.7,-1.32,5h
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,2026-03-23 10:15:00,1248.7,1256.6,1245.7,1249.7,,,At/Below Slow EMA,1,1246.67,1246.19,1249.7,1227.9,1.74,prior swing low @ 2026-03-23 09:15:00,1262.2,0.57,TARGET HIT,Not Hit,2026-03-24 09:15:00,1270.3,1.0,6h
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,2026-03-23 11:15:00,1249.2,1255.0,1243.6,1252.1,,,At/Below Slow EMA,2,1247.66,1246.75,1252.1,1227.9,1.93,prior swing low @ 2026-03-23 09:15:00,1264.62,0.52,TARGET HIT,Not Hit,2026-03-24 09:15:00,1270.3,1.0,5h
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,2026-03-23 13:15:00,1246.4,1258.4,1244.0,1256.3,,,At/Below Slow EMA,4,1248.98,1247.59,1256.3,1243.2,1.04,prior swing low @ 2026-03-23 12:15:00,1268.86,0.96,TARGET HIT,Not Hit,2026-03-24 09:15:00,1270.3,1.0,3h
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,2026-03-24 10:15:00,1413.3,1415.9,1406.7,1413.7,,,At/Below Slow EMA,1,1408.81,1407.84,1413.7,1391.0,1.61,prior swing low @ 2026-03-23 10:15:00,1427.84,0.62,TARGET HIT,Not Hit,2026-03-25 10:15:00,1429.5,1.0,7h
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,2026-03-24 12:15:00,1411.4,1420.1,1408.5,1416.3,,,At/Below Slow EMA,3,1410.57,1408.96,1416.3,1391.0,1.79,prior swing low @ 2026-03-23 10:15:00,1430.46,0.56,SL HIT,2026-03-27 09:15:00,Not Hit,1430.4,-1.79,11h
TCS,1h,EMA10/EMA20,2026-03-24 11:15:00,2026-03-24 15:15:00,2397.4,2403.2,2393.6,2400.8,,,At/Below Slow EMA,4,2400.75,2397.49,2400.8,2377.0,0.99,prior swing low @ 2026-03-23 15:15:00,2424.81,1.01,SL HIT,2026-03-25 14:15:00,Not Hit,2421.6,-0.99,6h
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,2026-03-24 15:15:00,1411.5,1414.6,1408.2,1414.0,,,At/Below Slow EMA,6,1411.53,1409.91,1414.0,1407.0,0.5,prior swing low @ 2026-03-24 14:15:00,1428.14,2.02,TARGET HIT,Not Hit,2026-03-25 10:15:00,1429.5,1.0,2h
TCS,1h,EMA10/EMA20,2026-03-24 11:15:00,2026-03-25 09:15:00,2400.9,2417.4,2390.6,2413.0,,,At/Below Slow EMA,5,2402.98,2398.97,2413.0,2390.6,0.93,touch is swing low,2437.13,1.08,SL HIT,2026-03-25 14:15:00,Not Hit,2421.6,-0.93,5h
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,2026-03-25 09:15:00,1270.0,1282.6,1265.1,1281.4,,,At/Below Slow EMA,14,1275.69,1267.03,1281.4,1265.1,1.27,touch is swing low,1294.21,0.79,TARGET HIT,Not Hit,2026-03-27 09:15:00,1294.7,1.0,7h
TCS,1h,EMA10/EMA20,2026-03-27 09:15:00,2026-03-27 11:15:00,2413.5,2415.9,2402.5,2415.5,,,Between Slow & Fast EMA,2,2404.27,2401.94,2415.5,2371.8,1.81,prior swing low @ 2026-03-25 15:15:00,2439.66,0.55,SL HIT,2026-03-30 09:15:00,Not Hit,2422.1,-1.81,5h
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,2026-03-27 12:15:00,1278.1,1281.4,1275.3,1280.1,,,At/Below Slow EMA,24,1280.05,1276.16,1280.1,1265.1,1.17,prior swing low @ 2026-03-25 09:15:00,1292.9,0.85,SL HIT,2026-03-27 15:15:00,Not Hit,1282.0,-1.17,3h
INFY,1h,EMA10/EMA20,2026-04-01 10:15:00,2026-04-01 15:15:00,1276.4,1279.1,1276.3,1278.0,,,Between Slow & Fast EMA,5,1277.63,1274.84,1278.0,1243.0,2.74,prior swing low @ 2026-03-30 14:15:00,1290.78,0.37,TARGET HIT,Not Hit,2026-04-02 13:15:00,1294.5,1.0,5h
TCS,1h,EMA10/EMA20,2026-04-01 10:15:00,2026-04-02 12:15:00,2407.1,2420.4,2403.0,2419.8,,,At/Below Slow EMA,9,2411.83,2408.09,2419.8,2381.1,1.6,prior swing low @ 2026-04-02 09:15:00,2444.0,0.63,TARGET HIT,Not Hit,2026-04-02 13:15:00,2454.0,1.0,1h
