Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %
HDFCBANK,40.0,19.0,21.0,0.0,47.5,2.26,2.56,1.11,44.27
ICICIBANK,35.0,12.0,23.0,0.0,34.3,2.3,2.53,0.38,13.37
INFY,22.0,5.0,17.0,0.0,22.7,2.92,1.86,-1.18,-26.0
RELIANCE,24.0,12.0,12.0,0.0,50.0,2.26,2.65,1.24,29.71
TCS,19.0,6.0,13.0,0.0,31.6,2.74,1.76,-0.51,-9.61
