SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
3.5,5.0,1.43,128,56,68,45.2,0.334,42.8
0.75,7.5,10.0,128,16,109,12.8,0.332,42.54
0.75,5.5,7.33,128,21,104,16.8,0.326,41.79
0.75,8.0,10.67,128,15,110,12.0,0.326,41.79
3.5,4.0,1.14,128,64,61,51.2,0.325,41.57
0.75,6.5,8.67,128,18,107,14.4,0.321,41.04
0.75,6.0,8.0,128,19,106,15.2,0.303,38.79
1.0,5.0,5.0,128,27,99,21.4,0.295,37.73
3.0,5.0,1.67,128,51,73,41.1,0.288,36.8
1.0,6.5,6.5,128,21,104,16.8,0.287,36.79
1.0,5.5,5.5,128,24,101,19.2,0.276,35.29
3.25,5.0,1.54,128,53,71,42.7,0.274,35.05
1.0,8.0,8.0,128,17,107,13.7,0.274,35.09
1.0,7.5,7.5,128,18,106,14.5,0.274,35.09
0.75,7.0,9.33,128,16,109,12.8,0.27,34.54
0.75,5.0,6.67,128,22,104,17.5,0.264,33.73
1.0,6.0,6.0,128,22,103,17.6,0.26,33.29
0.5,6.0,12.0,128,14,111,11.2,0.256,32.79
0.5,6.5,13.0,128,13,112,10.4,0.256,32.79
1.25,5.0,4.0,128,30,96,23.8,0.248,31.73
2.75,5.0,1.82,128,48,76,38.7,0.248,31.8
0.5,5.5,11.0,128,15,110,12.0,0.248,31.79
3.5,4.5,1.29,128,58,66,46.8,0.241,30.8
1.25,5.5,4.4,128,27,98,21.6,0.237,30.29
0.5,7.5,15.0,128,11,114,8.8,0.233,29.79
1.0,4.5,4.5,128,28,98,22.2,0.232,29.73
2.5,5.0,2.0,128,45,79,36.3,0.221,28.3
0.75,4.0,5.33,128,26,101,20.5,0.221,28.25
0.75,4.5,6.0,128,23,103,18.3,0.219,27.98
1.0,4.0,4.0,128,31,96,24.4,0.219,28.0
1.5,5.0,3.33,128,33,92,26.4,0.217,27.74
3.25,4.0,1.23,128,60,65,48.0,0.217,27.82
4.0,5.0,1.25,128,58,65,47.2,0.217,27.72
0.75,9.0,12.0,128,12,113,9.6,0.215,27.54
1.25,8.0,6.4,128,19,105,15.3,0.21,26.84
1.75,5.0,2.86,128,36,88,29.0,0.209,26.8
0.5,8.0,16.0,128,10,115,8.0,0.209,26.79
0.5,5.0,10.0,128,16,110,12.7,0.209,26.73
3.75,4.0,1.07,128,64,61,51.2,0.206,26.32
3.0,4.5,1.5,128,53,71,42.7,0.205,26.3
1.25,6.5,5.2,128,23,102,18.4,0.205,26.29
1.0,7.0,7.0,128,18,106,14.5,0.204,26.09
1.25,7.5,6.0,128,20,104,16.1,0.204,26.09
3.75,5.0,1.33,128,56,68,45.2,0.202,25.8
1.25,4.0,3.2,128,35,92,27.6,0.195,25.0
1.5,4.0,2.67,128,39,87,31.0,0.191,24.51
0.5,7.0,14.0,128,11,114,8.8,0.19,24.29
3.25,4.5,1.38,128,55,69,44.4,0.188,24.05
0.5,4.5,9.0,128,17,109,13.5,0.185,23.73
1.5,4.5,3.0,128,35,90,28.0,0.182,23.24
0.75,9.5,12.67,128,11,114,8.8,0.182,23.29
3.0,4.0,1.33,128,57,68,45.6,0.18,23.07
1.75,7.5,4.29,128,25,97,20.5,0.179,22.91
1.25,4.5,3.6,128,31,95,24.6,0.176,22.48
2.75,4.5,1.64,128,50,74,40.3,0.174,22.3
1.0,9.0,9.0,128,14,110,11.3,0.173,22.09
1.25,6.0,4.8,128,24,101,19.2,0.172,22.04
0.5,4.0,8.0,128,19,108,15.0,0.172,22.0
1.75,4.0,2.29,128,42,83,33.6,0.17,21.82
4.25,5.0,1.18,128,59,63,48.4,0.169,21.62
0.75,8.5,11.33,128,12,113,9.6,0.168,21.54
1.75,4.5,2.57,128,38,86,30.6,0.166,21.3
1.5,5.5,3.67,128,29,95,23.4,0.159,20.3
2.5,7.5,3.0,128,32,90,26.2,0.158,20.16
1.75,5.5,3.14,128,32,91,26.0,0.157,20.11
2.75,4.0,1.45,128,54,71,43.2,0.155,19.82
2.5,4.5,1.8,128,47,77,37.9,0.155,19.8
1.75,6.5,3.71,128,28,95,22.8,0.149,19.11
2.25,5.0,2.22,128,41,83,33.1,0.149,19.05
1.5,7.5,5.0,128,22,101,17.9,0.145,18.6
1.0,9.5,9.5,128,13,111,10.5,0.145,18.59
2.5,4.0,1.6,128,51,74,40.8,0.141,18.07
0.75,10.0,13.33,128,10,115,8.0,0.141,18.04
0.5,9.0,18.0,128,8,117,6.4,0.139,17.79
1.5,6.5,4.33,128,25,99,20.2,0.135,17.3
1.0,3.5,3.5,128,32,95,25.2,0.133,17.0
1.25,7.0,5.6,128,20,104,16.1,0.126,16.09
2.5,5.5,2.2,128,40,83,32.5,0.124,15.86
1.75,8.0,4.57,128,23,99,18.9,0.124,15.91
4.0,4.5,1.12,128,60,63,48.8,0.123,15.72
0.75,3.5,4.67,128,26,101,20.5,0.119,15.25
0.5,10.0,20.0,128,7,118,5.6,0.119,15.29
2.5,8.0,3.2,128,30,92,24.6,0.118,15.16
1.0,8.5,8.5,128,14,110,11.3,0.118,15.09
3.75,4.5,1.2,128,58,66,46.8,0.112,14.3
1.0,10.0,10.0,128,12,112,9.7,0.11,14.09
0.5,8.5,17.0,128,8,117,6.4,0.108,13.79
1.75,6.0,3.43,128,29,94,23.6,0.1,12.86
0.5,3.5,7.0,128,19,108,15.0,0.098,12.5
1.25,3.5,2.8,128,36,91,28.3,0.096,12.25
1.5,6.0,4.0,128,26,98,21.0,0.096,12.3
2.25,4.5,2.0,128,43,81,34.7,0.094,12.05
2.0,5.0,2.5,128,37,87,29.8,0.092,11.8
0.5,9.5,19.0,128,7,118,5.6,0.092,11.79
2.25,4.0,1.78,128,47,78,37.6,0.09,11.57
3.25,3.5,1.08,128,62,63,49.6,0.088,11.32
2.5,6.5,2.6,128,35,88,28.5,0.085,10.86
1.5,8.0,5.33,128,20,103,16.3,0.083,10.6
1.75,7.0,4.0,128,25,97,20.5,0.081,10.41
2.5,6.0,2.4,128,37,86,30.1,0.081,10.36
1.5,3.5,2.33,128,40,86,31.7,0.078,10.01
4.75,5.0,1.05,128,61,61,50.0,0.075,9.62
2.75,7.5,2.73,128,33,89,27.0,0.062,7.91
3.0,3.5,1.17,128,59,66,47.2,0.059,7.57
1.5,7.0,4.67,128,22,101,17.9,0.059,7.6
2.0,4.0,2.0,128,43,82,34.4,0.055,7.07
2.0,4.5,2.25,128,39,85,31.5,0.049,6.3
1.5,2.0,1.33,128,56,70,44.4,0.047,6.01
1.75,3.5,2.0,128,43,82,34.4,0.047,6.07
4.5,5.0,1.11,128,59,63,48.4,0.046,5.87
2.25,5.5,2.44,128,36,87,29.3,0.044,5.61
2.75,3.5,1.27,128,56,69,44.8,0.042,5.32
2.0,5.5,2.75,128,33,90,26.8,0.038,4.86
3.5,5.5,1.57,128,48,75,39.0,0.038,4.86
2.5,3.5,1.4,128,53,72,42.4,0.036,4.57
2.5,7.0,2.8,128,32,90,26.2,0.032,4.16
2.25,7.5,3.33,128,28,94,23.0,0.029,3.66
2.75,5.5,2.0,128,41,82,33.3,0.026,3.36
0.5,3.0,6.0,128,19,108,15.0,0.023,3.0
2.75,8.0,2.91,128,31,91,25.4,0.023,2.91
0.75,3.0,4.0,128,26,101,20.5,0.018,2.25
1.0,3.0,3.0,128,32,95,25.2,0.008,1.0
4.25,4.5,1.06,128,60,62,49.2,0.007,0.87
3.0,5.5,1.83,128,43,80,35.0,-0.001,-0.14
0.5,2.0,4.0,128,25,102,19.7,-0.008,-1.0
2.25,6.0,2.67,128,33,90,26.8,-0.009,-1.14
2.0,7.5,3.75,128,25,97,20.5,-0.01,-1.34
0.75,2.0,2.67,128,34,93,26.8,-0.014,-1.75
2.75,6.5,2.36,128,36,87,29.3,-0.015,-1.89
2.25,6.5,2.89,128,31,92,25.2,-0.017,-2.14
1.75,2.0,1.14,128,58,67,46.4,-0.017,-2.18
2.75,6.0,2.18,128,38,85,30.9,-0.019,-2.39
1.25,8.5,6.8,128,15,109,12.1,-0.021,-2.66
3.25,5.5,1.69,128,45,78,36.6,-0.021,-2.64
1.25,2.0,1.6,128,48,79,37.8,-0.021,-2.75
2.25,8.0,3.56,128,26,96,21.3,-0.022,-2.84
0.5,10.5,21.0,128,5,120,4.0,-0.025,-3.21
0.5,2.5,5.0,128,20,107,15.7,-0.027,-3.5
3.0,7.5,2.5,128,34,88,27.9,-0.03,-3.84
3.5,7.5,2.14,128,38,84,31.1,-0.03,-3.84
1.0,2.0,2.0,128,41,86,32.3,-0.031,-4.0
0.75,2.5,3.33,128,28,99,22.0,-0.033,-4.25
1.75,9.5,5.43,128,18,103,14.9,-0.036,-4.66
2.0,6.5,3.25,128,28,95,22.8,-0.036,-4.64
3.0,6.5,2.17,128,38,85,30.9,-0.036,-4.64
1.25,9.0,7.2,128,14,110,11.3,-0.042,-5.41
3.0,6.0,2.0,128,40,83,32.5,-0.044,-5.64
1.25,3.0,2.4,128,36,91,28.3,-0.045,-5.75
1.5,2.5,1.67,128,46,80,36.5,-0.047,-5.99
2.25,3.5,1.56,128,48,77,38.4,-0.048,-6.18
3.5,6.5,1.86,128,42,81,34.1,-0.056,-7.14
1.75,10.0,5.71,128,17,104,14.0,-0.058,-7.41
3.5,8.0,2.29,128,36,86,29.5,-0.061,-7.84
1.0,2.5,2.5,128,34,93,26.8,-0.062,-8.0
2.75,7.0,2.55,128,33,89,27.0,-0.067,-8.59
1.25,2.5,2.0,128,40,87,31.5,-0.068,-8.75
2.0,8.0,4.0,128,23,99,18.9,-0.069,-8.84
3.0,8.0,2.67,128,32,90,26.2,-0.069,-8.84
2.0,3.5,1.75,128,44,81,35.2,-0.07,-8.93
3.5,6.0,1.71,128,44,79,35.8,-0.071,-9.14
1.25,9.5,7.6,128,13,111,10.5,-0.072,-9.16
1.5,3.0,2.0,128,40,86,31.7,-0.078,-9.99
2.25,7.0,3.11,128,28,94,23.0,-0.081,-10.34
2.5,8.5,3.4,128,26,94,21.7,-0.081,-10.34
2.0,6.0,3.0,128,29,94,23.6,-0.083,-10.64
3.0,7.0,2.33,128,35,87,28.7,-0.085,-10.84
3.5,7.0,2.0,128,39,83,32.0,-0.096,-12.34
1.75,8.5,4.86,128,19,102,15.7,-0.097,-12.41
4.0,5.5,1.38,128,50,72,41.0,-0.099,-12.72
1.5,9.5,6.33,128,15,107,12.3,-0.105,-13.47
1.75,9.0,5.14,128,18,103,14.9,-0.107,-13.66
2.0,7.0,3.5,128,25,97,20.5,-0.108,-13.84
3.75,5.5,1.47,128,48,75,39.0,-0.109,-13.89
1.25,10.0,8.0,128,12,112,9.7,-0.109,-13.91
3.25,7.5,2.31,128,35,87,28.7,-0.118,-15.09
1.75,3.0,1.71,128,43,82,34.4,-0.121,-15.43
3.25,6.5,2.0,128,39,84,31.7,-0.126,-16.14
0.5,13.5,27.0,128,3,122,2.4,-0.127,-16.21
2.5,3.0,1.2,128,54,71,43.2,-0.128,-16.43
2.75,3.0,1.09,128,57,68,45.6,-0.132,-16.93
3.25,6.0,1.85,128,41,82,33.3,-0.134,-17.14
1.5,10.0,6.67,128,14,108,11.5,-0.136,-17.47
0.5,13.0,26.0,128,3,122,2.4,-0.138,-17.71
4.25,7.5,1.76,128,42,78,35.0,-0.139,-17.77
1.5,8.5,5.67,128,16,106,13.1,-0.144,-18.47
0.5,12.5,25.0,128,3,122,2.4,-0.15,-19.21
2.25,9.5,4.22,128,21,99,17.5,-0.153,-19.59
1.75,2.5,1.43,128,47,78,37.6,-0.156,-19.93
4.25,5.5,1.29,128,51,70,42.1,-0.157,-20.07
3.25,8.0,2.46,128,33,89,27.0,-0.157,-20.09
0.5,12.0,24.0,128,3,122,2.4,-0.162,-20.71
1.5,9.0,6.0,128,15,107,12.3,-0.164,-20.97
4.25,8.0,1.88,128,40,80,33.3,-0.166,-21.27
2.0,2.5,1.25,128,51,74,40.8,-0.167,-21.43
2.25,10.0,4.44,128,20,100,16.7,-0.167,-21.34
4.0,7.5,1.88,128,40,81,33.1,-0.171,-21.92
0.75,10.5,14.0,128,6,119,4.8,-0.172,-21.96
0.5,11.5,23.0,128,3,122,2.4,-0.174,-22.21
