Variant,Signals,SL %,Target %,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %
All touches,559,0.5,2.5,85,470,2,15.3,0.05,27.96
First-1,128,3.5,5.0,56,68,4,45.2,0.33,42.8
First-2,231,1.0,5.5,42,185,4,18.5,0.22,50.29
