SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
3.75,10.0,2.67,559,86,452,16.0,-1.449,-809.88
4.25,12.0,2.82,559,84,443,15.9,-1.449,-809.88
4.75,7.5,1.58,559,146,401,26.7,-1.454,-812.96
5.0,6.0,1.2,559,176,371,32.2,-1.457,-814.54
3.0,12.5,4.17,559,48,488,9.0,-1.457,-814.48
4.0,12.5,3.12,559,75,454,14.2,-1.459,-815.33
3.5,10.5,3.0,559,72,463,13.5,-1.462,-817.27
3.0,11.5,3.83,559,51,485,9.5,-1.465,-818.98
3.5,11.5,3.29,559,67,468,12.5,-1.467,-820.27
4.0,12.0,3.0,559,77,452,14.6,-1.468,-820.83
3.75,12.5,3.33,559,70,465,13.1,-1.47,-821.52
3.25,10.0,3.08,559,68,470,12.6,-1.471,-822.38
3.75,12.0,3.2,559,72,463,13.5,-1.476,-825.02
4.5,14.5,3.22,559,77,448,14.7,-1.481,-827.9
4.0,9.5,2.38,559,94,439,17.6,-1.483,-828.86
4.0,9.0,2.25,559,100,436,18.7,-1.483,-829.22
4.5,13.5,3.0,559,82,445,15.6,-1.486,-830.63
3.0,11.0,3.67,559,52,484,9.7,-1.486,-830.48
3.5,11.0,3.14,559,68,467,12.7,-1.501,-839.27
3.25,15.0,4.62,559,46,487,8.6,-1.501,-838.79
4.75,6.5,1.37,559,158,392,28.7,-1.502,-839.72
3.25,14.5,4.46,559,47,486,8.8,-1.51,-844.04
5.0,7.5,1.5,559,151,392,27.8,-1.511,-844.87
4.25,9.5,2.24,559,100,431,18.8,-1.513,-845.91
4.75,7.0,1.47,559,150,398,27.4,-1.513,-845.71
4.5,14.0,3.11,559,78,447,14.9,-1.517,-847.9
4.25,9.0,2.12,559,106,428,19.9,-1.518,-848.52
5.0,6.5,1.3,559,165,381,30.2,-1.523,-851.38
4.25,11.5,2.71,559,84,443,15.9,-1.524,-851.88
3.25,13.5,4.15,559,50,485,9.3,-1.528,-854.02
4.0,10.0,2.5,559,88,444,16.5,-1.529,-854.94
4.0,11.5,2.88,559,77,452,14.6,-1.537,-859.33
3.75,11.5,3.07,559,72,463,13.5,-1.54,-861.02
3.75,10.5,2.8,559,77,458,14.4,-1.542,-861.77
3.25,14.0,4.31,559,47,486,8.8,-1.552,-867.54
4.25,10.0,2.35,559,94,436,17.7,-1.557,-870.24
4.5,13.0,2.89,559,82,445,15.6,-1.559,-871.63
4.25,10.5,2.47,559,88,439,16.7,-1.569,-876.88
4.0,10.5,2.62,559,81,448,15.3,-1.571,-878.33
3.25,13.0,4.0,559,50,485,9.3,-1.572,-879.02
5.0,7.0,1.4,559,155,389,28.5,-1.573,-879.37
3.25,10.5,3.23,559,59,476,11.0,-1.575,-880.27
3.75,11.0,2.93,559,73,462,13.6,-1.578,-882.27
3.25,12.0,3.69,559,53,482,9.9,-1.58,-883.27
4.5,8.5,1.89,559,116,420,21.6,-1.587,-886.98
3.25,12.5,3.85,559,51,484,9.5,-1.589,-888.27
4.25,11.0,2.59,559,84,443,15.9,-1.599,-893.88
3.25,11.5,3.54,559,54,481,10.1,-1.601,-895.02
4.5,12.5,2.78,559,83,444,15.7,-1.602,-895.63
4.0,11.0,2.75,559,77,452,14.6,-1.606,-897.83
5.25,6.0,1.14,559,176,369,32.3,-1.614,-902.39
4.5,12.0,2.67,559,85,442,16.1,-1.617,-904.13
4.75,8.0,1.68,559,132,413,24.2,-1.621,-906.11
3.25,11.0,3.38,559,55,480,10.3,-1.624,-907.77
4.5,11.5,2.56,559,87,440,16.5,-1.636,-914.63
4.75,15.0,3.16,559,76,449,14.5,-1.648,-921.15
5.25,7.5,1.43,559,151,390,27.9,-1.678,-937.97
5.0,8.0,1.6,559,137,404,25.3,-1.679,-938.52
4.75,14.5,3.05,559,77,448,14.7,-1.681,-939.9
5.25,6.5,1.24,559,165,379,30.3,-1.685,-941.73
4.75,13.5,2.84,559,82,445,15.6,-1.685,-941.88
4.5,9.5,2.11,559,100,431,18.8,-1.706,-953.66
4.5,9.0,2.0,559,106,428,19.9,-1.709,-955.52
4.5,11.0,2.44,559,87,440,16.5,-1.714,-958.13
5.5,6.0,1.09,559,179,365,32.9,-1.715,-958.51
4.75,14.0,2.95,559,78,447,14.9,-1.717,-959.65
5.0,15.0,3.0,559,79,442,15.2,-1.731,-967.56
5.25,7.0,1.33,559,155,387,28.6,-1.738,-971.72
4.5,10.0,2.22,559,94,436,17.7,-1.752,-979.24
4.75,13.0,2.74,559,82,445,15.6,-1.758,-982.88
4.5,10.5,2.33,559,88,439,16.7,-1.765,-986.63
5.0,14.5,2.9,559,80,441,15.4,-1.767,-987.56
5.0,13.5,2.7,559,85,438,16.3,-1.774,-991.79
4.75,8.5,1.79,559,116,420,21.6,-1.775,-991.98
5.5,7.5,1.36,559,154,386,28.5,-1.78,-994.84
