Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %
HDFCBANK,5.0,1.0,4.0,0.0,20.0,-0.1,-0.5
ICICIBANK,13.0,5.0,8.0,0.0,38.5,0.27,3.5
INFY,17.0,5.0,12.0,0.0,29.4,0.09,1.5
RELIANCE,17.0,5.0,10.0,1.0,29.4,0.25,4.28
TCS,9.0,4.0,5.0,0.0,44.4,0.39,3.5
