Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,754.62,750.85,773.49,SL HIT,2024-04-18 00:00:00,Not Hit,759.42,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,747.39,744.62,At/Below Slow EMA,5,,,765.65,761.82,784.79,SL HIT,2024-04-22 00:00:00,Not Hit,778.7,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,775.9,772.02,795.3,TARGET HIT,Not Hit,2024-06-14 00:00:00,799.5,2.5,7d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-07-22 00:00:00,808.5,825.5,806.33,821.27,818.11,801.29,Between Slow & Fast EMA,37,,,821.27,817.16,841.8,SL HIT,2024-07-23 00:00:00,Not Hit,823.9,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-01 00:00:00,811.45,825.02,808.98,819.4,813.18,803.27,Between Slow & Fast EMA,45,,,819.4,815.3,839.88,SL HIT,2024-08-05 00:00:00,Not Hit,835.25,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-08 00:00:00,812.0,826.65,809.62,821.35,813.52,805.24,Between Slow & Fast EMA,50,,,821.35,817.24,841.88,SL HIT,2024-08-13 00:00:00,Not Hit,837.98,-0.5,3d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-16 00:00:00,814.25,817.08,805.5,816.05,813.91,807.01,At/Below Slow EMA,55,,,816.05,811.97,836.45,SL HIT,2024-08-19 00:00:00,Not Hit,818.83,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-20 00:00:00,813.73,823.0,813.73,818.85,814.51,807.8,Between Slow & Fast EMA,57,,,818.85,814.76,839.32,SL HIT,2024-08-21 00:00:00,Not Hit,817.27,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,816.1,810.82,Between Slow & Fast EMA,67,,,818.67,814.58,839.14,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,2.5,11d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,816.53,811.21,Between Slow & Fast EMA,68,,,820.9,816.8,841.42,SL HIT,2024-09-09 00:00:00,Not Hit,824.95,-0.5,3d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,817.77,812.38,Between Slow & Fast EMA,71,,,823.25,819.13,843.83,SL HIT,2024-09-10 00:00:00,Not Hit,827.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-14 00:00:00,828.02,846.02,827.0,844.05,840.32,833.01,At/Below Slow EMA,95,,,844.05,839.83,865.15,SL HIT,2024-10-15 00:00:00,Not Hit,849.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-16 00:00:00,840.05,853.98,840.05,849.9,841.33,834.01,Between Slow & Fast EMA,97,,,849.9,845.65,871.15,SL HIT,2024-10-17 00:00:00,Not Hit,848.83,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-18 00:00:00,831.55,845.5,827.05,840.92,840.9,834.38,At/Below Slow EMA,99,,,840.92,836.72,861.94,TARGET HIT,Not Hit,2024-10-21 00:00:00,874.08,2.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,859.82,847.36,Between Slow & Fast EMA,111,,,878.92,874.53,900.89,SL HIT,2024-11-06 00:00:00,Not Hit,885.75,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-19 00:00:00,857.0,876.88,851.35,871.12,861.48,852.31,At/Below Slow EMA,120,,,871.12,866.76,892.9,SL HIT,2024-11-22 00:00:00,Not Hit,879.5,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-04-08 00:00:00,882.5,891.0,875.15,884.58,883.81,871.72,Between Slow & Fast EMA,12,,,884.58,880.16,906.69,SL HIT,2025-04-09 00:00:00,Not Hit,887.5,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,951.7,923.23,Between Slow & Fast EMA,35,,,966.9,962.07,991.07,SL HIT,2025-05-20 00:00:00,Not Hit,972.5,-0.5,3d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-22 00:00:00,957.6,962.1,952.6,959.95,956.03,930.5,Between Slow & Fast EMA,40,,,959.95,955.15,983.95,SL HIT,2025-05-29 00:00:00,Not Hit,974.95,-0.5,5d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-28 00:00:00,960.1,967.25,958.85,961.75,958.93,935.65,Between Slow & Fast EMA,44,,,961.75,956.94,985.79,SL HIT,2025-05-29 00:00:00,Not Hit,970.4,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,961.06,939.25,Between Slow & Fast EMA,47,,,966.05,961.22,990.2,SL HIT,2025-06-03 00:00:00,Not Hit,976.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,962.03,941.35,Between Slow & Fast EMA,49,,,970.6,965.75,994.86,TARGET HIT,Not Hit,2025-06-06 00:00:00,998.15,2.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-20 00:00:00,965.8,984.95,965.8,982.35,969.48,953.67,Between Slow & Fast EMA,61,,,982.35,977.44,1006.91,SL HIT,2025-06-23 00:00:00,Not Hit,978.95,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-07-15 00:00:00,986.5,1001.8,986.5,997.75,991.49,974.85,Between Slow & Fast EMA,78,,,997.75,992.76,1022.69,SL HIT,2025-07-17 00:00:00,Not Hit,1011.35,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-07-21 00:00:00,989.1,1001.0,988.25,1000.25,991.83,977.48,Between Slow & Fast EMA,82,,,1000.25,995.25,1025.26,SL HIT,2025-08-04 00:00:00,Not Hit,1018.85,-0.5,10d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-07-29 00:00:00,999.95,1013.25,998.15,1010.8,998.33,983.72,Between Slow & Fast EMA,88,,,1010.8,1005.75,1036.07,SL HIT,2025-07-31 00:00:00,Not Hit,1016.3,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-08-11 00:00:00,987.95,998.8,986.55,997.8,997.7,988.05,At/Below Slow EMA,97,,,997.8,992.81,1022.74,SL HIT,2025-08-12 00:00:00,Not Hit,998.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-03 00:00:00,985.0,994.55,983.3,992.65,990.2,982.76,Between Slow & Fast EMA,10,,,992.65,987.69,1017.47,SL HIT,2025-11-04 00:00:00,Not Hit,997.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-11 00:00:00,983.5,993.5,978.0,991.7,988.59,983.31,At/Below Slow EMA,15,,,991.7,986.74,1016.49,SL HIT,2025-11-13 00:00:00,Not Hit,999.0,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-14 00:00:00,976.05,991.65,976.05,989.6,988.59,983.91,At/Below Slow EMA,18,,,989.6,984.65,1014.34,SL HIT,2025-11-19 00:00:00,Not Hit,999.0,-0.5,3d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-17 00:00:00,991.25,997.95,985.6,996.55,989.31,984.4,Between Slow & Fast EMA,19,,,996.55,991.57,1021.46,SL HIT,2025-11-18 00:00:00,Not Hit,999.0,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-19 00:00:00,990.0,996.55,984.0,994.6,990.05,985.1,At/Below Slow EMA,21,,,994.6,989.63,1019.46,SL HIT,2025-11-25 00:00:00,Not Hit,1011.6,-0.5,4d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-26 00:00:00,981.3,1006.95,981.3,1003.9,993.69,987.77,At/Below Slow EMA,26,,,1003.9,998.88,1029.0,SL HIT,2025-12-02 00:00:00,Not Hit,1017.5,-0.5,4d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-03 00:00:00,986.0,1002.3,986.0,1000.5,996.55,990.28,At/Below Slow EMA,31,,,1000.5,995.5,1025.51,SL HIT,2025-12-04 00:00:00,Not Hit,1004.7,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-05 00:00:00,992.0,1008.0,990.2,1003.3,997.22,991.05,At/Below Slow EMA,33,,,1003.3,998.28,1028.38,SL HIT,2025-12-08 00:00:00,Not Hit,1006.5,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-08 00:00:00,1000.0,1006.5,997.5,1003.1,997.75,991.52,Between Slow & Fast EMA,34,,,1003.1,998.08,1028.18,SL HIT,2025-12-09 00:00:00,Not Hit,1002.8,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-11 00:00:00,990.0,1002.7,988.5,1000.3,997.28,992.01,At/Below Slow EMA,37,,,1000.3,995.3,1025.31,SL HIT,2025-12-15 00:00:00,Not Hit,1004.7,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-23 00:00:00,990.5,998.9,987.7,996.6,993.48,991.57,At/Below Slow EMA,45,,,996.6,991.62,1021.51,SL HIT,2025-12-26 00:00:00,Not Hit,999.4,-0.5,2d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-12-24 00:00:00,993.0,999.4,993.0,997.2,993.82,991.79,Between Slow & Fast EMA,46,,,997.2,992.21,1022.13,SL HIT,2025-12-26 00:00:00,Not Hit,997.2,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2026-01-02 00:00:00,991.15,1003.2,988.8,1001.6,993.68,992.11,At/Below Slow EMA,52,,,1001.6,996.59,1026.64,SL HIT,2026-01-05 00:00:00,Not Hit,1006.4,-0.5,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,982.84,982.51,At/Below Slow EMA,1,,,987.15,982.21,1011.83,SL HIT,2024-01-08 00:00:00,Not Hit,998.3,-0.5,2d
