SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.75,12.0,16.0,141,5,136,0,3.5,-0.298,-42.0,12.0,-0.75,-0.298,0.59,-63.75,-0.66
0.75,12.5,16.67,141,5,136,0,3.5,-0.28,-39.5,12.5,-0.75,-0.28,0.61,-63.75,-0.62
0.75,13.0,17.33,141,5,136,0,3.5,-0.262,-37.0,13.0,-0.75,-0.262,0.64,-63.75,-0.58
0.75,13.5,18.0,141,5,136,0,3.5,-0.245,-34.5,13.5,-0.75,-0.245,0.66,-63.75,-0.54
0.75,14.0,18.67,141,5,136,0,3.5,-0.227,-32.0,14.0,-0.75,-0.227,0.69,-63.75,-0.5
0.75,14.5,19.33,141,5,136,0,3.5,-0.209,-29.5,14.5,-0.75,-0.209,0.71,-63.75,-0.46
0.75,15.0,20.0,141,5,136,0,3.5,-0.191,-27.0,15.0,-0.75,-0.191,0.74,-63.75,-0.42
1.0,1.5,1.5,141,54,84,0,39.1,-0.116,-16.4,1.91,-1.45,-0.116,0.87,-53.91,-0.3
1.0,2.0,2.0,141,48,93,0,34.0,0.021,3.0,2.0,-1.0,0.021,1.03,-29.0,0.1
1.0,2.5,2.5,141,46,95,0,32.6,0.142,20.0,2.5,-1.0,0.142,1.21,-26.5,0.75
1.0,3.0,3.0,141,40,101,0,28.4,0.135,19.0,3.0,-1.0,0.135,1.19,-32.0,0.59
1.0,3.5,3.5,141,39,102,0,27.7,0.245,34.5,3.5,-1.0,0.245,1.34,-30.5,1.13
1.0,4.0,4.0,141,36,105,0,25.5,0.277,39.0,4.0,-1.0,0.277,1.37,-29.0,1.34
1.0,4.5,4.5,141,34,107,0,24.1,0.326,46.0,4.5,-1.0,0.326,1.43,-38.5,1.19
1.0,5.0,5.0,141,32,109,0,22.7,0.362,51.0,5.0,-1.0,0.362,1.47,-38.0,1.34
