Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %
HDFCBANK,19.0,1.0,18.0,0.0,5.3,-0.39,-7.5
ICICIBANK,28.0,13.0,15.0,0.0,46.4,0.43,12.0
INFY,26.0,3.0,23.0,0.0,11.5,-0.27,-7.0
RELIANCE,31.0,6.0,23.0,0.0,19.4,0.04,1.22
TCS,24.0,6.0,18.0,0.0,25.0,0.0,0.0
