Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,754.62,716.89,807.44,SL HIT,2024-05-10 00:00:00,Not Hit,778.7,-5.0,16d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,747.39,744.62,At/Below Slow EMA,5,,,765.65,727.37,819.25,SL HIT,2024-05-09 00:00:00,Not Hit,778.7,-5.0,13d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,775.9,737.1,830.21,TARGET HIT,Not Hit,2024-06-19 00:00:00,834.95,7.0,9d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-07-22 00:00:00,808.5,825.5,806.33,821.27,818.11,801.29,Between Slow & Fast EMA,37,,,821.27,780.21,878.76,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,44d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-01 00:00:00,811.45,825.02,808.98,819.4,813.18,803.27,Between Slow & Fast EMA,45,,,819.4,778.43,876.76,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,36d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-08 00:00:00,812.0,826.65,809.62,821.35,813.52,805.24,Between Slow & Fast EMA,50,,,821.35,780.28,878.84,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,31d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-16 00:00:00,814.25,817.08,805.5,816.05,813.91,807.01,At/Below Slow EMA,55,,,816.05,775.25,873.17,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,26d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-08-20 00:00:00,813.73,823.0,813.73,818.85,814.51,807.8,Between Slow & Fast EMA,57,,,818.85,777.91,876.17,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,24d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,816.1,810.82,Between Slow & Fast EMA,67,,,818.67,777.74,875.98,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,14d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,816.53,811.21,Between Slow & Fast EMA,68,,,820.9,779.85,878.36,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,13d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,817.77,812.38,Between Slow & Fast EMA,71,,,823.25,782.09,880.88,TARGET HIT,Not Hit,2024-09-23 00:00:00,883.17,7.0,10d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-14 00:00:00,828.02,846.02,827.0,844.05,840.32,833.01,At/Below Slow EMA,95,,,844.05,801.85,903.13,TARGET HIT,Not Hit,2024-11-26 00:00:00,905.0,7.0,29d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-16 00:00:00,840.05,853.98,840.05,849.9,841.33,834.01,Between Slow & Fast EMA,97,,,849.9,807.4,909.39,TARGET HIT,Not Hit,2024-11-28 00:00:00,918.05,7.0,29d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-10-18 00:00:00,831.55,845.5,827.05,840.92,840.9,834.38,At/Below Slow EMA,99,,,840.92,798.87,899.78,TARGET HIT,Not Hit,2024-11-25 00:00:00,901.77,7.0,24d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,859.82,847.36,Between Slow & Fast EMA,111,,,878.92,834.97,940.44,SL HIT,2025-01-09 00:00:00,Not Hit,940.0,-5.0,44d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-11-19 00:00:00,857.0,876.88,851.35,871.12,861.48,852.31,At/Below Slow EMA,120,,,871.12,827.56,932.1,TARGET HIT,Not Hit,2024-12-04 00:00:00,932.5,7.0,10d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-04-08 00:00:00,882.5,891.0,875.15,884.58,883.81,871.72,Between Slow & Fast EMA,12,,,884.58,840.35,946.5,TARGET HIT,Not Hit,2025-04-17 00:00:00,959.85,7.0,5d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,951.7,923.23,Between Slow & Fast EMA,35,,,966.9,918.55,1034.58,SL HIT,2026-01-21 00:00:00,Not Hit,1020.5,-5.0,172d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-22 00:00:00,957.6,962.1,952.6,959.95,956.03,930.5,Between Slow & Fast EMA,40,,,959.95,911.95,1027.15,SL HIT,2026-01-23 00:00:00,Not Hit,1020.5,-5.0,169d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-05-28 00:00:00,960.1,967.25,958.85,961.75,958.93,935.65,Between Slow & Fast EMA,44,,,961.75,913.66,1029.07,SL HIT,2026-01-22 00:00:00,Not Hit,1020.5,-5.0,164d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,961.06,939.25,Between Slow & Fast EMA,47,,,966.05,917.75,1033.67,SL HIT,2026-01-21 00:00:00,Not Hit,1020.5,-5.0,160d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,962.03,941.35,Between Slow & Fast EMA,49,,,970.6,922.07,1038.54,SL HIT,2026-01-14 00:00:00,Not Hit,1020.5,-5.0,154d
