Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,720.6,719.68,722.7,721.0
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,,,At/Below Slow EMA,4,720.6,719.68,723.11,721.53
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,,,At/Below Slow EMA,6,720.6,719.68,721.94,721.14
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,720.89,720.7,755.62,748.03
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,,,Between Slow & Fast EMA,19,720.89,720.7,757.05,752.17
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,,,Between Slow & Fast EMA,23,720.89,720.7,759.64,755.34
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,763.85,,,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,743.73,742.61,750.39,746.78
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,763.85,,,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,,,At/Below Slow EMA,7,743.73,742.61,759.59,753.51
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,815.31,814.86,816.93,816.16
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,,,At/Below Slow EMA,7,815.31,814.86,817.65,816.61
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,,,At/Below Slow EMA,10,815.31,814.86,819.41,817.88
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,,,Between Slow & Fast EMA,6,844.14,843.17,862.56,855.2
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-10-31 00:00:00,864.0,869.45,859.7,867.85,,,Between Slow & Fast EMA,8,844.14,843.17,864.23,857.45
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-01 00:00:00,866.5,872.05,863.05,868.65,,,Between Slow & Fast EMA,9,844.14,843.17,865.03,858.51
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,,,At/Below Slow EMA,11,844.14,843.17,866.37,860.33
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-07 00:00:00,872.15,880.48,869.0,873.27,,,Between Slow & Fast EMA,13,844.14,843.17,869.3,863.05
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-11-22 00:00:00,871.77,877.15,864.77,872.8,,,Between Slow & Fast EMA,2,862.02,861.69,865.26,863.51
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-12-02 00:00:00,901.75,904.08,887.5,902.35,,,Between Slow & Fast EMA,8,862.02,861.69,888.84,879.33
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-12-13 00:00:00,931.25,937.5,914.62,935.88,,,Between Slow & Fast EMA,17,862.02,861.69,924.65,909.98
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-17 00:00:00,842.6,860.0,840.62,858.67,,,At/Below Slow EMA,8,847.12,845.97,853.27,851.34
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-18 00:00:00,856.52,865.77,853.08,861.52,,,Between Slow & Fast EMA,9,847.12,845.97,854.77,852.31
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-19 00:00:00,858.5,868.95,856.23,863.6,,,Between Slow & Fast EMA,10,847.12,845.97,856.37,853.38
HDFCBANK,1d,EMA10/EMA20,2025-02-28 00:00:00,866.2,,,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,,,At/Below Slow EMA,2,851.96,851.32,852.34,851.62
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,,,Between Slow & Fast EMA,11,850.53,850.26,892.95,881.11
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-03 00:00:00,890.55,902.0,888.5,897.42,,,Between Slow & Fast EMA,12,850.53,850.26,893.76,882.66
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-11 00:00:00,887.38,909.7,887.38,903.38,,,Between Slow & Fast EMA,17,850.53,850.26,892.45,886.16
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-12 00:00:00,958.8,979.95,956.15,978.6,,,Between Slow & Fast EMA,35,850.53,850.26,962.01,949.84
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,,,At/Below Slow EMA,38,850.53,850.26,961.81,952.83
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-23 00:00:00,960.05,968.5,957.25,966.8,,,At/Below Slow EMA,44,850.53,850.26,963.19,957.81
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-26 00:00:00,967.5,974.95,963.45,970.1,,,Between Slow & Fast EMA,45,850.53,850.26,964.44,958.98
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-30 00:00:00,965.95,974.4,962.7,972.45,,,Between Slow & Fast EMA,49,850.53,850.26,965.34,961.19
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,,,At/Below Slow EMA,50,850.53,850.26,965.47,961.65
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,,,At/Below Slow EMA,52,850.53,850.26,965.93,962.56
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-06 00:00:00,972.0,998.15,971.35,989.35,,,Between Slow & Fast EMA,54,850.53,850.26,971.51,966.16
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-20 00:00:00,965.8,984.95,965.8,982.35,,,At/Below Slow EMA,64,850.53,850.26,971.64,969.79
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-04 00:00:00,993.55,1001.75,990.0,994.65,,,Between Slow & Fast EMA,74,850.53,850.26,993.23,986.46
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-08 00:00:00,988.5,1002.5,988.5,1000.7,,,Between Slow & Fast EMA,76,850.53,850.26,994.66,988.44
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-15 00:00:00,986.5,1001.8,986.5,997.75,,,At/Below Slow EMA,81,850.53,850.26,996.14,991.98
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-21 00:00:00,989.1,1001.0,988.25,1000.25,,,At/Below Slow EMA,85,850.53,850.26,994.17,992.18
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-28 00:00:00,1001.5,1010.7,1000.25,1004.25,,,Between Slow & Fast EMA,90,850.53,850.26,1001.34,997.5
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-29 00:00:00,999.95,1013.25,998.15,1010.8,,,At/Below Slow EMA,91,850.53,850.26,1003.06,998.76
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-31 00:00:00,1007.3,1015.7,1004.0,1009.1,,,Between Slow & Fast EMA,93,850.53,850.26,1005.62,1000.97
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-13 00:00:00,974.3,981.0,972.0,977.0,,,Between Slow & Fast EMA,4,965.15,964.68,972.45,969.21
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-14 00:00:00,970.0,980.45,967.0,977.15,,,At/Below Slow EMA,5,965.15,964.68,973.31,969.96
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-15 00:00:00,975.0,984.9,973.35,978.25,,,Between Slow & Fast EMA,6,965.15,964.68,974.21,970.75
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-28 00:00:00,997.65,1008.0,995.0,1003.55,,,Between Slow & Fast EMA,14,965.15,964.68,996.85,988.2
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-11 00:00:00,983.5,993.5,978.0,991.7,,,At/Below Slow EMA,23,965.15,964.68,989.8,988.84
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-14 00:00:00,976.05,991.65,976.05,989.6,,,At/Below Slow EMA,26,965.15,964.68,989.26,988.77
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-17 00:00:00,991.25,997.95,985.6,996.55,,,At/Below Slow EMA,27,965.15,964.68,990.59,989.51
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-19 00:00:00,990.0,996.55,984.0,994.6,,,At/Below Slow EMA,29,965.15,964.68,991.59,990.25
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-20 00:00:00,995.3,1011.6,992.45,1008.85,,,Between Slow & Fast EMA,30,965.15,964.68,994.73,992.02
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-26 00:00:00,981.3,1006.95,981.3,1003.9,,,At/Below Slow EMA,34,965.15,964.68,996.53,993.94
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-03 00:00:00,986.0,1002.3,986.0,1000.5,,,At/Below Slow EMA,39,965.15,964.68,999.09,996.8
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-05 00:00:00,992.0,1008.0,990.2,1003.3,,,At/Below Slow EMA,41,965.15,964.68,999.57,997.46
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-08 00:00:00,1000.0,1006.5,997.5,1003.1,,,At/Below Slow EMA,42,965.15,964.68,1000.21,997.99
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-11 00:00:00,990.0,1002.7,988.5,1000.3,,,At/Below Slow EMA,45,965.15,964.68,998.3,997.44
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,984.05,,,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,,,At/Below Slow EMA,1,982.58,982.42,983.41,982.87
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,984.05,,,2024-01-05 00:00:00,988.0,998.3,983.8,993.7,,,At/Below Slow EMA,2,982.58,982.42,985.28,983.9
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,984.05,,,2024-01-10 00:00:00,974.3,994.95,974.3,993.05,,,At/Below Slow EMA,5,982.58,982.42,985.47,984.27
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,984.05,,,2024-01-19 00:00:00,991.3,1010.9,987.55,999.2,,,At/Below Slow EMA,12,982.58,982.42,993.49,990.52
