Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,722.7,744.49,SL HIT,2024-03-18 00:00:00,Not Hit,728.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,755.62,748.03,765.65,761.82,784.79,SL HIT,2024-04-22 00:00:00,Not Hit,778.7,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,750.39,746.78,757.42,753.63,776.36,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,2.5,2d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,816.93,816.16,818.67,814.58,839.14,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,2.5,11d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,,,Between Slow & Fast EMA,6,862.56,855.2,875.92,871.54,897.82,SL HIT,2024-10-30 00:00:00,Not Hit,877.38,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,2024-11-22 00:00:00,871.77,877.15,864.77,872.8,,,Between Slow & Fast EMA,2,865.26,863.51,872.8,868.44,894.62,TARGET HIT,Not Hit,2024-11-25 00:00:00,901.77,2.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,2025-02-17 00:00:00,842.6,860.0,840.62,858.67,,,At/Below Slow EMA,8,853.27,851.34,858.67,854.38,880.14,SL HIT,2025-02-18 00:00:00,Not Hit,865.77,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-28 00:00:00,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,,,At/Below Slow EMA,2,852.34,851.62,855.0,850.73,876.37,SL HIT,2025-03-05 00:00:00,Not Hit,855.4,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,,,Between Slow & Fast EMA,11,892.95,881.11,898.45,893.96,920.91,SL HIT,2025-04-03 00:00:00,Not Hit,902.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,2025-10-13 00:00:00,974.3,981.0,972.0,977.0,,,Between Slow & Fast EMA,4,972.45,969.21,977.0,972.12,1001.42,SL HIT,2025-10-14 00:00:00,Not Hit,980.45,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,754.62,750.85,773.49,SL HIT,2024-04-18 00:00:00,Not Hit,759.42,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,775.9,772.02,795.3,TARGET HIT,Not Hit,2024-06-14 00:00:00,799.5,2.5,7d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-04-08 00:00:00,882.5,891.0,875.15,884.58,883.81,871.72,Between Slow & Fast EMA,12,,,884.58,880.16,906.69,SL HIT,2025-04-09 00:00:00,Not Hit,887.5,-0.5,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-03 00:00:00,985.0,994.55,983.3,992.65,990.2,982.76,Between Slow & Fast EMA,10,,,992.65,987.69,1017.47,SL HIT,2025-11-04 00:00:00,Not Hit,997.0,-0.5,1d
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,,,Between Slow & Fast EMA,6,929.21,925.98,931.4,926.74,954.68,SL HIT,2026-01-29 09:15:00,Not Hit,933.0,-0.5,2h
HDFCBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-05 10:15:00,950.9,951.7,949.05,951.65,,,Between Slow & Fast EMA,15,950.64,946.67,951.65,946.89,975.44,SL HIT,2026-02-06 09:15:00,Not Hit,952.85,-0.5,6h
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,2026-02-17 09:15:00,923.0,925.8,918.7,925.65,,,At/Below Slow EMA,1,922.98,922.68,925.65,921.02,948.79,SL HIT,2026-02-18 09:15:00,Not Hit,928.0,-0.5,7h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-17 11:15:00,840.15,841.05,835.15,840.6,,,Between Slow & Fast EMA,4,835.97,833.43,840.6,836.4,861.61,SL HIT,2026-03-18 09:15:00,Not Hit,848.7,-0.5,5h
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,2026-04-07 09:15:00,766.0,767.95,761.0,767.45,,,Between Slow & Fast EMA,5,761.69,756.3,767.45,763.61,786.64,SL HIT,2026-04-07 10:15:00,Not Hit,769.5,-0.5,1h
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,930.71,928.88,Between Slow & Fast EMA,5,,,936.6,931.92,960.01,SL HIT,2026-01-30 11:15:00,Not Hit,938.85,-0.5,2h
HDFCBANK,1h,EMA21/EMA50,2026-04-08 09:15:00,2026-04-21 09:15:00,795.2,803.5,795.2,802.3,799.41,797.16,At/Below Slow EMA,56,,,802.3,798.29,822.36,SL HIT,2026-04-22 15:15:00,Not Hit,814.5,-0.5,13h
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,,,At/Below Slow EMA,1,983.41,982.87,987.15,982.21,1011.83,SL HIT,2024-01-08 00:00:00,Not Hit,998.3,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-04-24 00:00:00,2024-04-25 00:00:00,1090.0,1125.65,1089.95,1113.75,,,Between Slow & Fast EMA,1,1089.99,1086.37,1113.75,1108.18,1141.59,SL HIT,2024-04-26 00:00:00,Not Hit,1120.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-06-19 00:00:00,2024-07-03 00:00:00,1196.85,1215.85,1179.45,1201.6,,,Between Slow & Fast EMA,10,1188.25,1168.04,1201.6,1195.59,1231.64,TARGET HIT,Not Hit,2024-07-04 00:00:00,1234.95,2.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-08-27 00:00:00,2024-09-09 00:00:00,1202.9,1238.3,1200.45,1235.0,,,At/Below Slow EMA,9,1224.3,1215.13,1235.0,1228.83,1265.88,SL HIT,2024-09-10 00:00:00,Not Hit,1241.35,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-10-28 00:00:00,2024-11-05 00:00:00,1273.0,1301.3,1263.1,1296.7,,,At/Below Slow EMA,6,1285.55,1276.28,1296.7,1290.22,1329.12,SL HIT,2024-11-07 00:00:00,Not Hit,1315.0,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-11-25 00:00:00,2024-11-29 00:00:00,1283.1,1303.25,1283.1,1300.1,,,Between Slow & Fast EMA,4,1285.66,1279.65,1300.1,1293.6,1332.6,SL HIT,2024-12-02 00:00:00,Not Hit,1310.55,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-02-04 00:00:00,2025-02-10 00:00:00,1257.2,1265.0,1249.35,1262.6,,,At/Below Slow EMA,4,1257.18,1253.74,1262.6,1256.29,1294.16,SL HIT,2025-02-11 00:00:00,Not Hit,1261.85,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-02 00:00:00,1322.15,1337.95,1322.15,1331.25,,,Between Slow & Fast EMA,11,1323.55,1301.4,1331.25,1324.59,1364.53,SL HIT,2025-04-03 00:00:00,Not Hit,1333.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-06-27 00:00:00,2025-07-04 00:00:00,1427.0,1444.4,1421.1,1442.8,,,At/Below Slow EMA,5,1434.19,1432.99,1442.8,1435.59,1478.87,SL HIT,2025-07-07 00:00:00,Not Hit,1440.9,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-07-21 00:00:00,2025-07-31 00:00:00,1469.9,1494.5,1464.0,1481.4,,,Between Slow & Fast EMA,8,1473.15,1460.29,1481.4,1473.99,1518.43,SL HIT,2025-08-01 00:00:00,Not Hit,1485.1,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-11-19 00:00:00,2025-11-26 00:00:00,1360.0,1377.0,1359.9,1375.0,,,At/Below Slow EMA,5,1369.72,1369.13,1375.0,1368.12,1409.37,SL HIT,2025-12-03 00:00:00,Not Hit,1400.0,-0.5,5d
ICICIBANK,1d,EMA10/EMA20,2026-01-06 00:00:00,2026-01-12 00:00:00,1399.9,1424.3,1391.7,1413.1,,,Between Slow & Fast EMA,4,1394.39,1382.01,1413.1,1406.03,1448.43,SL HIT,2026-01-16 00:00:00,Not Hit,1443.9,-0.5,3d
ICICIBANK,1d,EMA10/EMA20,2026-02-05 00:00:00,2026-02-16 00:00:00,1404.0,1414.0,1400.5,1411.6,,,Between Slow & Fast EMA,7,1403.81,1394.03,1411.6,1404.54,1446.89,SL HIT,2026-02-17 00:00:00,Not Hit,1413.6,-0.5,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,982.84,982.51,At/Below Slow EMA,1,,,987.15,982.21,1011.83,SL HIT,2024-01-08 00:00:00,Not Hit,998.3,-0.5,2d
ICICIBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-06-02 00:00:00,1442.0,1460.0,1432.8,1450.5,1436.87,1395.31,Between Slow & Fast EMA,47,,,1450.5,1443.25,1486.76,SL HIT,2025-06-03 00:00:00,Not Hit,1455.0,-0.5,1d
ICICIBANK,1d,EMA21/EMA50,2026-02-05 00:00:00,2026-02-17 00:00:00,1406.2,1413.6,1393.6,1407.5,1394.69,1385.67,Between Slow & Fast EMA,8,,,1407.5,1400.46,1442.69,SL HIT,2026-02-18 00:00:00,Not Hit,1412.3,-0.5,1d
ICICIBANK,1h,EMA10/EMA20,2026-01-02 11:15:00,2026-01-06 09:15:00,1372.0,1410.5,1367.8,1409.7,,,Between Slow & Fast EMA,12,1373.53,1363.68,1409.7,1402.65,1444.94,SL HIT,2026-01-09 10:15:00,Not Hit,1442.2,-0.5,22h
ICICIBANK,1h,EMA10/EMA20,2026-01-12 15:15:00,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,,,At/Below Slow EMA,1,1415.05,1413.8,1422.7,1415.59,1458.27,SL HIT,2026-01-14 10:15:00,Not Hit,1443.4,-0.5,8h
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-29 10:15:00,1363.8,1367.7,1362.2,1365.4,,,Between Slow & Fast EMA,9,1364.7,1361.45,1365.4,1358.57,1399.54,SL HIT,2026-01-30 11:15:00,Not Hit,1387.7,-0.5,8h
ICICIBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-06 09:15:00,1396.7,1406.8,1396.7,1403.6,,,Between Slow & Fast EMA,21,1401.26,1396.45,1403.6,1396.58,1438.69,SL HIT,2026-02-06 11:15:00,Not Hit,1405.2,-0.5,2h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-10 12:15:00,1398.5,1406.9,1396.0,1404.9,,,At/Below Slow EMA,2,1399.16,1398.44,1404.9,1397.88,1440.02,SL HIT,2026-02-17 09:15:00,Not Hit,1433.9,-0.5,32h
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,2026-02-26 10:15:00,1401.5,1407.0,1399.0,1405.5,,,Between Slow & Fast EMA,4,1399.65,1398.13,1405.5,1398.47,1440.64,SL HIT,2026-02-26 12:15:00,Not Hit,1409.0,-0.5,2h
ICICIBANK,1h,EMA10/EMA20,2026-03-17 11:15:00,2026-03-18 10:15:00,1272.6,1290.6,1272.0,1289.3,,,At/Below Slow EMA,6,1280.82,1276.55,1289.3,1282.85,1321.53,SL HIT,2026-03-19 09:15:00,Not Hit,1297.0,-0.5,6h
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,2026-04-07 11:15:00,1222.1,1229.0,1221.5,1224.9,,,Between Slow & Fast EMA,4,1221.89,1219.81,1224.9,1218.78,1255.52,TARGET HIT,Not Hit,2026-04-08 09:15:00,1312.7,2.5,5h
ICICIBANK,1h,EMA10/EMA20,2026-05-07 09:15:00,2026-05-07 15:15:00,1274.0,1279.8,1273.7,1279.0,,,At/Below Slow EMA,6,1277.49,1273.84,1279.0,1272.61,1310.97,SL HIT,2026-05-08 09:15:00,Not Hit,1279.6,-0.5,1h
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,2026-01-12 12:15:00,1407.2,1424.3,1406.0,1420.1,1411.6,1398.35,Between Slow & Fast EMA,41,,,1420.1,1413.0,1455.6,SL HIT,2026-01-12 14:15:00,Not Hit,1420.8,-0.5,2h
ICICIBANK,1h,EMA21/EMA50,2026-02-03 12:15:00,2026-02-06 12:15:00,1395.7,1403.0,1395.0,1401.9,1396.57,1385.18,Between Slow & Fast EMA,21,,,1401.9,1394.89,1436.95,SL HIT,2026-02-09 12:15:00,Not Hit,1413.5,-0.5,7h
