SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1.0,5.0,5.0,231,46,182,20.2,0.215,49.73
1.0,4.0,4.0,231,53,176,23.1,0.156,36.0
4.0,4.0,1.0,231,117,108,52.0,0.131,30.34
4.0,1.5,0.38,231,169,56,75.1,0.103,23.84
5.0,1.5,0.3,231,177,47,79.0,0.093,21.49
1.5,4.0,2.67,231,66,162,28.9,0.087,20.01
1.5,5.0,3.33,231,55,172,24.2,0.077,17.74
3.0,4.0,1.33,231,99,127,43.8,0.054,12.42
3.0,5.0,1.67,231,86,139,38.2,0.053,12.15
1.0,7.0,7.0,231,29,197,12.8,0.052,12.09
5.0,4.0,0.8,231,126,97,56.5,0.032,7.37
2.5,5.0,2.0,231,76,150,33.6,0.025,5.8
2.5,4.0,1.6,231,88,139,38.8,0.015,3.57
5.0,1.0,0.2,231,189,37,83.6,-0.009,-1.99
5.0,3.0,0.6,231,140,83,62.8,-0.029,-6.63
1.0,2.0,2.0,231,74,155,32.3,-0.03,-7.0
6.0,1.5,0.25,231,179,44,80.3,-0.032,-7.38
1.0,3.0,3.0,231,55,174,24.0,-0.039,-9.0
4.0,3.0,0.75,231,128,97,56.9,-0.042,-9.66
2.0,5.0,2.5,231,63,163,27.9,-0.044,-10.2
4.0,1.0,0.25,231,180,47,79.3,-0.046,-10.64
2.0,4.0,2.0,231,74,153,32.6,-0.047,-10.93
4.0,2.0,0.5,231,149,76,66.2,-0.05,-11.66
5.0,2.0,0.4,231,159,64,71.3,-0.059,-13.63
1.5,2.0,1.33,231,93,135,40.8,-0.076,-17.49
4.0,5.0,1.25,231,98,126,43.8,-0.078,-17.93
1.0,10.0,10.0,231,18,207,8.0,-0.082,-18.91
6.0,1.0,0.17,231,190,35,84.4,-0.125,-28.86
3.0,2.0,0.67,231,130,96,57.5,-0.132,-30.58
3.0,1.5,0.5,231,153,72,68.0,-0.136,-31.33
2.0,2.0,1.0,231,105,122,46.3,-0.151,-34.93
1.5,3.0,2.0,231,68,160,29.8,-0.16,-36.99
2.5,2.0,0.8,231,117,110,51.5,-0.182,-41.93
6.0,2.0,0.33,231,163,59,73.4,-0.184,-42.5
2.5,1.5,0.6,231,141,85,62.4,-0.191,-44.18
8.0,1.5,0.19,231,184,38,82.9,-0.203,-46.99
3.0,3.0,1.0,231,105,121,46.5,-0.219,-50.58
1.5,7.0,4.67,231,33,192,14.7,-0.225,-51.9
8.0,1.0,0.12,231,195,30,86.7,-0.233,-53.86
5.0,5.0,1.0,231,106,116,47.7,-0.259,-59.9
2.0,1.5,0.75,231,126,99,56.0,-0.269,-62.2
2.5,3.0,1.2,231,92,135,40.5,-0.27,-62.43
2.0,1.0,0.5,231,147,79,65.0,-0.278,-64.26
6.0,3.0,0.5,231,142,80,64.0,-0.297,-68.5
2.0,3.0,1.5,231,77,150,33.9,-0.303,-69.93
2.5,1.0,0.4,231,161,65,71.2,-0.319,-73.68
6.0,4.0,0.67,231,127,95,57.2,-0.331,-76.5
3.0,1.0,0.33,231,168,57,74.7,-0.333,-76.83
8.0,2.0,0.25,231,171,50,77.4,-0.345,-79.61
2.5,7.0,2.8,231,50,174,22.3,-0.346,-79.84
2.0,7.0,3.5,231,39,185,17.4,-0.398,-91.84
1.5,1.0,0.67,231,130,92,58.6,-0.404,-93.21
1.5,1.5,1.0,231,108,114,48.6,-0.408,-94.21
1.5,10.0,6.67,231,20,202,9.0,-0.419,-96.86
3.0,7.0,2.33,231,56,167,25.1,-0.457,-105.49
1.0,15.0,15.0,231,6,217,2.7,-0.486,-112.18
2.0,10.0,5.0,231,26,194,11.8,-0.531,-122.73
1.0,1.5,1.5,231,86,137,38.6,-0.533,-123.04
8.0,3.0,0.38,231,151,70,68.3,-0.557,-128.61
2.5,10.0,4.0,231,32,187,14.6,-0.616,-142.38
8.0,4.0,0.5,231,137,83,62.3,-0.62,-143.23
4.0,7.0,1.75,231,67,154,30.3,-0.644,-148.86
1.0,1.0,1.0,231,106,114,48.2,-0.692,-159.86
6.0,5.0,0.83,231,107,114,48.4,-0.7,-161.77
1.5,15.0,10.0,231,8,212,3.6,-0.801,-185.13
5.0,7.0,1.4,231,75,143,34.4,-0.871,-201.17
2.0,15.0,7.5,231,12,205,5.5,-0.912,-210.58
3.0,10.0,3.33,231,32,183,14.9,-0.954,-220.35
2.5,15.0,6.0,231,16,198,7.5,-0.957,-221.04
8.0,5.0,0.62,231,118,101,53.9,-1.054,-243.5
4.0,10.0,2.5,231,38,173,18.0,-1.291,-298.11
3.0,15.0,5.0,231,16,194,7.6,-1.318,-304.51
6.0,7.0,1.17,231,77,140,35.5,-1.364,-315.04
5.0,10.0,2.0,231,45,163,21.6,-1.56,-360.42
4.0,15.0,3.75,231,21,185,10.2,-1.655,-382.27
8.0,7.0,0.88,231,84,128,39.6,-1.969,-454.89
6.0,10.0,1.67,231,49,158,23.7,-1.975,-456.29
5.0,15.0,3.0,231,26,177,12.8,-1.998,-461.58
8.0,10.0,1.25,231,60,141,29.9,-2.307,-532.92
6.0,15.0,2.5,231,28,174,13.9,-2.569,-593.45
8.0,15.0,1.88,231,38,157,19.5,-2.89,-667.7
