Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %
HDFCBANK,40.0,7.0,33.0,0.0,17.5,0.43,17.25
ICICIBANK,36.0,6.0,30.0,0.0,16.7,0.38,13.5
INFY,22.0,2.0,20.0,0.0,9.1,-0.14,-3.0
RELIANCE,24.0,8.0,16.0,0.0,33.3,1.5,36.0
TCS,19.0,2.0,17.0,0.0,10.5,-0.04,-0.75
