SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
6.0,7.5,1.25,231,74,142,34.3,-1.338,-309.04
3.0,12.5,4.17,231,19,193,9.0,-1.345,-310.74
3.0,11.0,3.67,231,21,191,9.9,-1.347,-311.24
3.25,10.5,3.23,231,25,186,11.8,-1.357,-313.53
6.0,8.0,1.33,231,71,145,32.9,-1.359,-314.04
3.5,13.0,3.71,231,24,187,11.4,-1.359,-314.03
4.25,13.5,3.18,231,30,177,14.5,-1.362,-314.6
6.0,7.0,1.17,231,77,140,35.5,-1.364,-315.04
5.0,9.0,1.8,231,52,157,24.9,-1.381,-319.01
5.5,8.5,1.55,231,60,150,28.6,-1.382,-319.34
3.5,11.5,3.29,231,26,185,12.3,-1.385,-320.03
3.25,12.0,3.69,231,22,189,10.4,-1.393,-321.78
3.25,13.5,4.15,231,20,191,9.5,-1.395,-322.28
5.0,9.5,1.9,231,49,159,23.6,-1.407,-324.92
3.5,12.5,3.57,231,24,187,11.4,-1.411,-326.03
4.25,12.0,2.82,231,32,175,15.5,-1.416,-327.1
4.25,13.0,3.06,231,30,177,14.5,-1.427,-329.6
4.25,10.5,2.47,231,35,172,16.9,-1.432,-330.85
3.75,13.5,3.6,231,25,186,11.8,-1.435,-331.53
3.25,13.0,4.0,231,20,191,9.5,-1.438,-332.28
3.25,11.5,3.54,231,22,189,10.4,-1.441,-332.78
3.5,11.0,3.14,231,26,185,12.3,-1.442,-333.03
3.75,10.5,2.8,231,30,181,14.2,-1.451,-335.28
3.5,14.5,4.14,231,20,189,9.6,-1.456,-336.3
3.75,12.0,3.2,231,27,184,12.8,-1.461,-337.53
4.75,9.0,1.89,231,48,163,22.7,-1.465,-338.3
4.5,10.0,2.22,231,41,169,19.5,-1.472,-339.96
4.0,13.5,3.38,231,26,182,12.5,-1.476,-341.0
3.25,12.5,3.85,231,20,191,9.5,-1.482,-342.28
3.25,14.5,4.46,231,17,192,8.1,-1.482,-342.3
5.75,8.5,1.48,231,61,149,29.0,-1.483,-342.59
4.25,11.5,2.71,231,32,175,15.5,-1.485,-343.1
3.25,11.0,3.38,231,22,189,10.4,-1.488,-343.78
3.75,13.0,3.47,231,25,186,11.8,-1.489,-344.03
4.25,12.5,2.94,231,30,177,14.5,-1.492,-344.6
3.5,15.0,4.29,231,19,190,9.1,-1.493,-344.8
4.75,9.5,2.0,231,45,165,21.4,-1.497,-345.71
3.5,14.0,4.0,231,20,189,9.6,-1.499,-346.3
4.0,10.5,2.62,231,31,177,14.9,-1.5,-346.5
4.0,12.0,3.0,231,28,180,13.5,-1.506,-348.0
3.25,14.0,4.31,231,17,192,8.1,-1.519,-350.8
3.75,11.5,3.07,231,27,184,12.8,-1.52,-351.03
3.25,15.0,4.62,231,16,193,7.7,-1.524,-352.05
4.0,13.0,3.25,231,26,182,12.5,-1.532,-354.0
4.5,11.5,2.56,231,34,173,16.4,-1.536,-354.85
5.25,9.0,1.71,231,52,156,25.0,-1.541,-355.88
3.75,12.5,3.33,231,25,186,11.8,-1.543,-356.53
4.25,14.0,3.29,231,26,179,12.7,-1.547,-357.37
