SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,1.0,2.0,61,25,34,1,42.4,0.16,9.78,1.03,-0.5,0.152,1.58,-3.0,3.26
0.5,1.5,3.0,61,20,39,1,33.9,0.201,12.28,1.51,-0.5,0.193,1.63,-3.0,4.09
0.5,2.0,4.0,61,14,46,1,23.3,0.082,5.0,2.0,-0.5,0.074,1.22,-7.0,0.71
0.5,2.5,5.0,61,10,50,1,16.7,0.0,0.0,2.5,-0.5,-0.008,1.0,-17.0,0.0
0.5,3.0,6.0,61,10,50,1,16.7,0.082,5.0,3.0,-0.5,0.074,1.2,-17.0,0.29
0.5,3.5,7.0,61,9,51,1,15.0,0.098,6.0,3.5,-0.5,0.09,1.24,-17.0,0.35
0.5,4.0,8.0,61,8,52,1,13.3,0.098,6.0,4.0,-0.5,0.09,1.23,-17.0,0.35
0.5,4.5,9.0,61,6,54,1,10.0,0.0,0.0,4.5,-0.5,-0.008,1.0,-17.0,0.0
0.5,5.0,10.0,61,6,54,1,10.0,0.049,3.0,5.0,-0.5,0.041,1.11,-17.0,0.18
0.5,5.5,11.0,61,5,54,2,8.5,0.05,3.06,5.01,-0.5,0.042,1.11,-17.0,0.18
0.5,6.0,12.0,61,5,54,2,8.5,0.091,5.56,5.43,-0.5,0.083,1.21,-17.0,0.33
0.5,6.5,13.0,61,3,56,2,5.1,-0.097,-5.94,5.52,-0.5,-0.106,0.79,-17.0,-0.35
0.5,7.0,14.0,61,3,56,2,5.1,-0.073,-4.44,5.89,-0.5,-0.081,0.84,-17.0,-0.26
0.5,7.5,15.0,61,3,56,2,5.1,-0.048,-2.94,6.26,-0.5,-0.056,0.89,-17.0,-0.17
0.5,8.0,16.0,61,3,56,2,5.1,-0.024,-1.44,6.64,-0.5,-0.032,0.95,-17.0,-0.08
0.5,8.5,17.0,61,1,58,2,1.7,-0.294,-17.94,5.53,-0.5,-0.302,0.38,-20.0,-0.9
0.5,9.0,18.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,9.5,19.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,10.0,20.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,10.5,21.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,11.0,22.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,11.5,23.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,12.0,24.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,12.5,25.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,13.0,26.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,13.5,27.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,14.0,28.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,14.5,29.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.5,15.0,30.0,61,0,59,2,0.0,-0.442,-26.94,2.56,-0.5,-0.45,0.09,-29.0,-0.93
0.75,1.0,1.33,61,30,29,1,50.8,0.164,10.03,1.03,-0.75,0.152,1.46,-5.5,1.82
0.75,1.5,2.0,61,24,35,1,40.7,0.189,11.53,1.51,-0.75,0.177,1.44,-5.25,2.2
0.75,2.0,2.67,61,16,44,1,26.7,-0.016,-1.0,2.0,-0.75,-0.029,0.97,-14.5,-0.07
0.75,2.5,3.33,61,11,49,1,18.3,-0.152,-9.25,2.5,-0.75,-0.164,0.75,-25.5,-0.36
0.75,3.0,4.0,61,10,50,1,16.7,-0.123,-7.5,3.0,-0.75,-0.135,0.8,-25.5,-0.29
0.75,3.5,4.67,61,9,51,1,15.0,-0.111,-6.75,3.5,-0.75,-0.123,0.82,-25.5,-0.26
0.75,4.0,5.33,61,8,52,1,13.3,-0.115,-7.0,4.0,-0.75,-0.127,0.82,-25.5,-0.27
0.75,4.5,6.0,61,6,54,1,10.0,-0.221,-13.5,4.5,-0.75,-0.234,0.67,-25.5,-0.53
0.75,5.0,6.67,61,6,54,1,10.0,-0.172,-10.5,5.0,-0.75,-0.184,0.74,-25.5,-0.41
0.75,5.5,7.33,61,5,54,2,8.5,-0.171,-10.44,5.01,-0.75,-0.183,0.74,-25.5,-0.41
