Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,933.9,927.37,927.27,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,930.71,928.88,Between Slow & Fast EMA,5,,,,
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,933.9,927.37,927.27,2026-01-30 13:15:00,931.55,934.7,930.1,934.0,931.71,929.63,Between Slow & Fast EMA,9,,,,
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,933.9,927.37,927.27,2026-02-01 09:15:00,932.0,936.8,925.25,935.4,931.6,929.8,At/Below Slow EMA,12,,,,
HDFCBANK,1h,EMA21/EMA50,2026-04-08 09:15:00,808.65,765.74,764.45,2026-04-21 09:15:00,795.2,803.5,795.2,802.3,799.41,797.16,At/Below Slow EMA,56,,,,
HDFCBANK,1h,EMA21/EMA50,2026-04-08 09:15:00,808.65,765.74,764.45,2026-04-22 11:15:00,804.05,805.0,803.35,804.3,804.24,800.46,Between Slow & Fast EMA,65,,,,
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,1352.2,1344.57,1344.16,2026-01-12 12:15:00,1407.2,1424.3,1406.0,1420.1,1411.6,1398.35,Between Slow & Fast EMA,41,,,,
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,1352.2,1344.57,1344.16,2026-01-12 15:15:00,1410.7,1420.0,1410.4,1420.0,1412.66,1400.32,Between Slow & Fast EMA,44,,,,
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,1352.2,1344.57,1344.16,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,1413.57,1401.2,Between Slow & Fast EMA,45,,,,
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,1352.2,1344.57,1344.16,2026-01-14 11:15:00,1416.5,1431.8,1416.1,1429.2,1423.11,1410.14,Between Slow & Fast EMA,54,,,,
ICICIBANK,1h,EMA21/EMA50,2026-02-03 12:15:00,1397.5,1365.17,1363.37,2026-02-06 12:15:00,1395.7,1403.0,1395.0,1401.9,1396.57,1385.18,Between Slow & Fast EMA,21,,,,
ICICIBANK,1h,EMA21/EMA50,2026-02-03 12:15:00,1397.5,1365.17,1363.37,2026-02-10 10:15:00,1398.7,1400.7,1396.0,1399.9,1397.54,1390.23,Between Slow & Fast EMA,33,,,,
ICICIBANK,1h,EMA21/EMA50,2026-02-03 12:15:00,1397.5,1365.17,1363.37,2026-02-10 12:15:00,1398.5,1406.9,1396.0,1404.9,1398.28,1391.11,Between Slow & Fast EMA,35,,,,
ICICIBANK,1h,EMA21/EMA50,2026-02-03 12:15:00,1397.5,1365.17,1363.37,2026-02-13 12:15:00,1411.7,1419.8,1410.7,1418.0,1416.05,1405.77,Between Slow & Fast EMA,56,,,,
