Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1h,EMA10/EMA20,3.0,9.5,3.17,128,9,106,7.8,-1.662,-212.68
1h,EMA10/EMA20,3.5,7.5,2.14,128,19,102,15.7,-1.671,-213.84
1h,EMA10/EMA20,2.5,10.0,4.0,128,6,114,5.0,-1.676,-214.56
1h,EMA10/EMA20,3.5,6.0,1.71,128,23,101,18.5,-1.69,-216.35
1h,EMA10/EMA20,4.5,5.5,1.22,128,34,88,27.9,-1.69,-216.28
1h,EMA10/EMA20,2.5,12.0,4.8,128,2,115,1.7,-1.804,-230.95
1h,EMA10/EMA20,2.5,11.5,4.6,128,2,115,1.7,-1.812,-231.95
1h,EMA10/EMA20,2.5,11.0,4.4,128,2,115,1.7,-1.82,-232.95
1h,EMA10/EMA20,4.0,6.5,1.62,128,25,98,20.3,-1.824,-233.43
1h,EMA10/EMA20,2.5,10.5,4.2,128,2,115,1.7,-1.828,-233.95
1h,EMA10/EMA20,4.0,7.0,1.75,128,23,98,19.0,-1.839,-235.42
1h,EMA10/EMA20,3.0,10.0,3.33,128,6,108,5.3,-1.854,-237.26
1h,EMA10/EMA20,3.5,8.0,2.29,128,16,105,13.2,-1.866,-238.84
1h,EMA10/EMA20,4.0,7.5,1.88,128,21,99,17.5,-1.882,-240.92
1h,EMA10/EMA20,4.0,6.0,1.5,128,25,98,20.3,-1.921,-245.93
1h,EMA10/EMA20,3.0,12.0,4.0,128,2,109,1.8,-1.986,-254.15
1h,EMA10/EMA20,3.0,11.5,3.83,128,2,109,1.8,-1.993,-255.15
1h,EMA10/EMA20,3.0,11.0,3.67,128,2,109,1.8,-2.001,-256.15
1h,EMA10/EMA20,3.0,10.5,3.5,128,2,109,1.8,-2.009,-257.15
1h,EMA10/EMA20,3.5,8.5,2.43,128,13,105,11.0,-2.021,-258.68
1h,EMA10/EMA20,5.0,5.5,1.1,128,34,87,28.1,-2.026,-259.38
1h,EMA10/EMA20,3.5,9.0,2.57,128,12,105,10.3,-2.042,-261.33
1h,EMA10/EMA20,3.5,9.5,2.71,128,9,105,7.9,-2.066,-264.47
1h,EMA10/EMA20,4.0,8.0,2.0,128,18,101,15.1,-2.067,-264.62
1h,EMA10/EMA20,4.5,6.5,1.44,128,26,96,21.3,-2.112,-270.28
1h,EMA10/EMA20,4.5,7.0,1.56,128,24,96,20.0,-2.123,-271.77
1h,EMA10/EMA20,4.5,7.5,1.67,128,22,97,18.5,-2.166,-277.27
1h,EMA10/EMA20,4.5,6.0,1.33,128,26,96,21.3,-2.213,-283.28
1h,EMA10/EMA20,4.0,8.5,2.12,128,13,101,11.4,-2.264,-289.85
1h,EMA10/EMA20,3.5,10.0,2.86,128,6,107,5.3,-2.266,-290.05
1h,EMA10/EMA20,4.0,9.0,2.25,128,12,101,10.6,-2.285,-292.5
1h,EMA10/EMA20,4.0,9.5,2.38,128,9,101,8.2,-2.31,-295.64
1h,EMA10/EMA20,4.5,8.0,1.78,128,18,99,15.4,-2.378,-304.42
1h,EMA10/EMA20,3.5,12.0,3.43,128,2,108,1.8,-2.402,-307.44
1h,EMA10/EMA20,3.5,11.5,3.29,128,2,108,1.8,-2.41,-308.44
1h,EMA10/EMA20,3.5,11.0,3.14,128,2,108,1.8,-2.418,-309.44
1h,EMA10/EMA20,3.5,10.5,3.0,128,2,108,1.8,-2.425,-310.44
1h,EMA10/EMA20,5.0,6.5,1.3,128,26,95,21.5,-2.48,-317.38
1h,EMA10/EMA20,5.0,7.0,1.4,128,24,95,20.2,-2.491,-318.87
1h,EMA10/EMA20,4.0,10.0,2.5,128,6,103,5.5,-2.517,-322.22
1h,EMA10/EMA20,5.0,7.5,1.5,128,22,96,18.6,-2.538,-324.87
1h,EMA10/EMA20,4.5,8.5,1.89,128,13,99,11.6,-2.575,-329.65
1h,EMA10/EMA20,5.0,6.0,1.2,128,26,95,21.5,-2.581,-330.38
1h,EMA10/EMA20,4.5,9.0,2.0,128,12,99,10.8,-2.596,-332.3
1h,EMA10/EMA20,4.5,9.5,2.11,128,9,99,8.3,-2.621,-335.44
1h,EMA10/EMA20,4.0,12.0,3.0,128,2,104,1.9,-2.657,-340.11
