Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1h,EMA21/EMA50,2.5,11.0,4.4,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,2.5,12.0,4.8,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,2.5,10.0,4.0,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,2.5,10.5,4.2,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,2.5,9.0,3.6,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,2.5,9.5,3.8,61,0,56,0.0,-2.284,-139.33
1h,EMA21/EMA50,3.5,7.0,2.0,61,6,53,10.2,-2.31,-140.94
1h,EMA21/EMA50,3.5,6.5,1.86,61,6,53,10.2,-2.36,-143.94
1h,EMA21/EMA50,4.0,7.0,1.75,61,8,51,13.6,-2.384,-145.44
1h,EMA21/EMA50,3.5,7.5,2.14,61,5,54,8.5,-2.442,-148.94
1h,EMA21/EMA50,4.0,6.5,1.62,61,8,51,13.6,-2.45,-149.44
1h,EMA21/EMA50,4.0,7.5,1.88,61,7,52,11.9,-2.507,-152.94
1h,EMA21/EMA50,4.5,6.0,1.33,61,10,49,16.9,-2.589,-157.94
1h,EMA21/EMA50,3.5,8.0,2.29,61,4,55,6.8,-2.589,-157.94
1h,EMA21/EMA50,3.0,8.5,2.83,61,1,56,1.8,-2.597,-158.44
1h,EMA21/EMA50,4.0,8.0,2.0,61,6,53,10.2,-2.647,-161.44
1h,EMA21/EMA50,4.5,5.5,1.22,61,10,49,16.9,-2.671,-162.94
1h,EMA21/EMA50,3.0,9.0,3.0,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,12.0,4.0,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,10.0,3.33,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,11.5,3.83,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,11.0,3.67,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,10.5,3.5,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,3.0,9.5,3.17,61,0,56,0.0,-2.743,-167.33
1h,EMA21/EMA50,4.5,7.0,1.56,61,8,51,13.6,-2.802,-170.94
1h,EMA21/EMA50,4.5,6.5,1.44,61,8,51,13.6,-2.868,-174.94
1h,EMA21/EMA50,4.5,7.5,1.67,61,7,52,11.9,-2.933,-178.94
1h,EMA21/EMA50,5.0,6.0,1.2,61,10,47,17.5,-2.937,-179.16
1h,EMA21/EMA50,5.0,5.5,1.1,61,10,47,17.5,-3.019,-184.16
1h,EMA21/EMA50,3.5,8.5,2.43,61,1,56,1.8,-3.056,-186.44
1h,EMA21/EMA50,4.5,8.0,1.78,61,6,53,10.2,-3.081,-187.94
1h,EMA21/EMA50,5.0,7.0,1.4,61,8,48,14.3,-3.139,-191.5
1h,EMA21/EMA50,3.5,9.5,2.71,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,11.0,3.14,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,10.0,2.86,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,12.0,3.43,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,11.5,3.29,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,10.5,3.0,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,3.5,9.0,2.57,61,0,56,0.0,-3.202,-195.33
1h,EMA21/EMA50,5.0,6.5,1.3,61,8,48,14.3,-3.205,-195.5
1h,EMA21/EMA50,4.0,8.5,2.12,61,1,54,1.8,-3.21,-195.83
1h,EMA21/EMA50,5.0,7.5,1.5,61,7,49,12.5,-3.279,-200.0
1h,EMA21/EMA50,5.5,6.0,1.09,61,10,46,17.9,-3.279,-200.03
1h,EMA21/EMA50,4.0,12.0,3.0,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,11.5,2.88,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,10.5,2.62,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,9.0,2.25,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,9.5,2.38,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,10.0,2.5,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,4.0,11.0,2.75,61,0,54,0.0,-3.356,-204.72
1h,EMA21/EMA50,5.0,8.0,1.6,61,6,50,10.7,-3.434,-209.5
1h,EMA21/EMA50,5.5,7.0,1.27,61,8,47,14.5,-3.49,-212.87
1h,EMA21/EMA50,5.5,6.5,1.18,61,8,47,14.5,-3.555,-216.87
1h,EMA21/EMA50,5.5,7.5,1.36,61,7,48,12.7,-3.637,-221.87
1h,EMA21/EMA50,4.5,8.5,1.89,61,1,54,1.8,-3.653,-222.83
1h,EMA21/EMA50,4.5,11.5,2.56,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,11.0,2.44,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,10.5,2.33,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,10.0,2.22,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,9.0,2.0,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,12.0,2.67,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,4.5,9.5,2.11,61,0,54,0.0,-3.799,-231.72
1h,EMA21/EMA50,5.5,8.0,1.45,61,6,49,10.9,-3.801,-231.87
1h,EMA21/EMA50,6.0,7.0,1.17,61,8,47,14.5,-3.875,-236.37
1h,EMA21/EMA50,6.0,6.5,1.08,61,8,47,14.5,-3.94,-240.37
1h,EMA21/EMA50,5.0,8.5,1.7,61,1,51,1.9,-4.015,-244.89
1h,EMA21/EMA50,6.0,7.5,1.25,61,7,48,12.7,-4.031,-245.87
1h,EMA21/EMA50,5.0,12.0,2.4,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,11.5,2.3,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,11.0,2.2,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,10.5,2.1,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,10.0,2.0,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,9.0,1.8,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,5.0,9.5,1.9,61,0,51,0.0,-4.16,-253.78
1h,EMA21/EMA50,6.0,8.0,1.33,61,6,49,10.9,-4.203,-256.37
1h,EMA21/EMA50,5.5,8.5,1.55,61,1,50,2.0,-4.39,-267.76
1h,EMA21/EMA50,5.5,10.0,1.82,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,9.0,1.64,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,9.5,1.73,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,12.0,2.18,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,11.5,2.09,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,11.0,2.0,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,5.5,10.5,1.91,61,0,50,0.0,-4.535,-276.65
1h,EMA21/EMA50,6.0,8.5,1.42,61,1,50,2.0,-4.799,-292.76
1h,EMA21/EMA50,6.0,9.0,1.5,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,9.5,1.58,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,10.0,1.67,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,10.5,1.75,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,11.0,1.83,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,11.5,1.92,61,0,50,0.0,-4.945,-301.65
1h,EMA21/EMA50,6.0,12.0,2.0,61,0,50,0.0,-4.945,-301.65
