Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,690.01,762.65,TARGET HIT,Not Hit,2024-04-04 00:00:00,765.0,5.0,12d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,,,At/Below Slow EMA,4,723.11,721.53,724.67,688.44,760.9,TARGET HIT,Not Hit,2024-04-04 00:00:00,765.0,5.0,10d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,,,At/Below Slow EMA,6,721.94,721.14,722.88,686.74,759.02,TARGET HIT,Not Hit,2024-04-04 00:00:00,765.0,5.0,8d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,755.62,748.03,765.65,727.37,803.93,SL HIT,2024-05-09 00:00:00,Not Hit,778.7,-5.0,13d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,,,Between Slow & Fast EMA,19,757.05,752.17,764.75,726.51,802.99,SL HIT,2024-05-09 00:00:00,Not Hit,770.3,-5.0,7d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,,,Between Slow & Fast EMA,23,759.64,755.34,761.33,723.26,799.4,SL HIT,2024-05-09 00:00:00,Not Hit,762.02,-5.0,3d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,750.39,746.78,757.42,719.55,795.29,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,5.0,2d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,,,At/Below Slow EMA,7,759.59,753.51,775.9,737.1,814.7,TARGET HIT,Not Hit,2024-06-19 00:00:00,834.95,5.0,9d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,816.93,816.16,818.67,777.74,859.6,TARGET HIT,Not Hit,2024-09-20 00:00:00,872.48,5.0,13d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,,,At/Below Slow EMA,7,817.65,816.61,820.9,779.85,861.95,TARGET HIT,Not Hit,2024-09-20 00:00:00,872.48,5.0,12d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,,,At/Below Slow EMA,10,819.41,817.88,823.25,782.09,864.41,TARGET HIT,Not Hit,2024-09-20 00:00:00,872.48,5.0,9d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,,,Between Slow & Fast EMA,6,862.56,855.2,875.92,832.12,919.72,TARGET HIT,Not Hit,2024-12-04 00:00:00,932.5,5.0,24d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-10-31 00:00:00,864.0,869.45,859.7,867.85,,,Between Slow & Fast EMA,8,864.23,857.45,867.85,824.46,911.24,TARGET HIT,Not Hit,2024-11-28 00:00:00,918.05,5.0,18d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-11-01 00:00:00,866.5,872.05,863.05,868.65,,,Between Slow & Fast EMA,9,865.03,858.51,868.65,825.22,912.08,TARGET HIT,Not Hit,2024-11-28 00:00:00,918.05,5.0,17d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,,,At/Below Slow EMA,11,866.37,860.33,878.92,834.97,922.87,TARGET HIT,Not Hit,2024-12-04 00:00:00,932.5,5.0,19d
