Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch,SL Price,SL Hit,SL Hit Time,Max High Before SL,Max Upside %,Trade Duration
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-29 00:00:00,999.95,1013.25,998.15,1010.8,,,At/Below Slow EMA,91,850.53,850.26,1003.06,998.76,998.15,Yes,2025-08-04 00:00:00,1016.3,0.54,4d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-31 00:00:00,1007.3,1015.7,1004.0,1009.1,,,Between Slow & Fast EMA,93,850.53,850.26,1005.62,1000.97,1004.0,Yes,2025-08-04 00:00:00,1014.15,0.5,2d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-13 00:00:00,974.3,981.0,972.0,977.0,,,Between Slow & Fast EMA,4,965.15,964.68,972.45,969.21,972.0,Yes,2025-10-14 00:00:00,980.45,0.35,1d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-14 00:00:00,970.0,980.45,967.0,977.15,,,At/Below Slow EMA,5,965.15,964.68,973.31,969.96,967.0,Yes,2026-01-06 00:00:00,1020.5,4.44,57d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-15 00:00:00,975.0,984.9,973.35,978.25,,,Between Slow & Fast EMA,6,965.15,964.68,974.21,970.75,973.35,Yes,2025-12-18 00:00:00,1020.5,4.32,44d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-10-28 00:00:00,997.65,1008.0,995.0,1003.55,,,Between Slow & Fast EMA,14,965.15,964.68,996.85,988.2,995.0,Yes,2025-10-31 00:00:00,1012.5,0.89,3d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-11 00:00:00,983.5,993.5,978.0,991.7,,,At/Below Slow EMA,23,965.15,964.68,989.8,988.84,978.0,Yes,2025-11-14 00:00:00,999.0,0.74,3d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-14 00:00:00,976.05,991.65,976.05,989.6,,,At/Below Slow EMA,26,965.15,964.68,989.26,988.77,976.05,Yes,2025-12-18 00:00:00,1017.5,2.82,24d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-17 00:00:00,991.25,997.95,985.6,996.55,,,At/Below Slow EMA,27,965.15,964.68,990.59,989.51,985.6,Yes,2025-11-19 00:00:00,999.0,0.25,2d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-19 00:00:00,990.0,996.55,984.0,994.6,,,At/Below Slow EMA,29,965.15,964.68,991.59,990.25,984.0,Yes,2025-11-26 00:00:00,1011.6,1.71,5d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-20 00:00:00,995.3,1011.6,992.45,1008.85,,,Between Slow & Fast EMA,30,965.15,964.68,994.73,992.02,992.45,Yes,2025-11-25 00:00:00,1011.45,0.26,3d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-11-26 00:00:00,981.3,1006.95,981.3,1003.9,,,At/Below Slow EMA,34,965.15,964.68,996.53,993.94,981.3,Yes,2025-12-17 00:00:00,1017.5,1.35,15d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-03 00:00:00,986.0,1002.3,986.0,1000.5,,,At/Below Slow EMA,39,965.15,964.68,999.09,996.8,986.0,Yes,2025-12-10 00:00:00,1008.0,0.75,5d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-05 00:00:00,992.0,1008.0,990.2,1003.3,,,At/Below Slow EMA,41,965.15,964.68,999.57,997.46,990.2,Yes,2025-12-10 00:00:00,1006.5,0.32,3d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-08 00:00:00,1000.0,1006.5,997.5,1003.1,,,At/Below Slow EMA,42,965.15,964.68,1000.21,997.99,997.5,Yes,2025-12-09 00:00:00,1002.8,-0.03,1d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,982.5,,,2025-12-11 00:00:00,990.0,1002.7,988.5,1000.3,,,At/Below Slow EMA,45,965.15,964.68,998.3,997.44,988.5,Yes,2025-12-17 00:00:00,1004.7,0.44,4d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,768.17,742.65,742.32,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,,,741.12,Yes,2024-04-19 00:00:00,767.48,1.7,2d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,768.17,742.65,742.32,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,747.39,744.62,At/Below Slow EMA,5,,,,,740.12,Yes,2024-05-09 00:00:00,778.7,1.7,13d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,,,741.17,Yes,2026-03-23 00:00:00,1020.5,31.52,447d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-07-22 00:00:00,808.5,825.5,806.33,821.27,818.11,801.29,Between Slow & Fast EMA,37,,,,,806.33,Yes,2024-07-23 00:00:00,823.9,0.32,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-08-01 00:00:00,811.45,825.02,808.98,819.4,813.18,803.27,Between Slow & Fast EMA,45,,,,,808.98,Yes,2024-08-05 00:00:00,835.25,1.93,2d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-08-08 00:00:00,812.0,826.65,809.62,821.35,813.52,805.24,Between Slow & Fast EMA,50,,,,,809.62,Yes,2024-08-13 00:00:00,837.98,2.02,3d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-08-16 00:00:00,814.25,817.08,805.5,816.05,813.91,807.01,At/Below Slow EMA,55,,,,,805.5,Yes,2026-03-19 00:00:00,1020.5,25.05,396d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-08-20 00:00:00,813.73,823.0,813.73,818.85,814.51,807.8,Between Slow & Fast EMA,57,,,,,813.73,Yes,2024-08-21 00:00:00,817.27,-0.19,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,816.1,810.82,Between Slow & Fast EMA,67,,,,,812.3,Yes,2024-10-07 00:00:00,894.0,9.2,23d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,816.53,811.21,Between Slow & Fast EMA,68,,,,,816.0,Yes,2024-09-09 00:00:00,824.95,0.49,3d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,817.77,812.38,Between Slow & Fast EMA,71,,,,,815.05,Yes,2024-10-07 00:00:00,894.0,8.59,19d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-10-14 00:00:00,828.02,846.02,827.0,844.05,840.32,833.01,At/Below Slow EMA,95,,,,,827.0,Yes,2025-01-13 00:00:00,940.0,11.37,62d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-10-16 00:00:00,840.05,853.98,840.05,849.9,841.33,834.01,Between Slow & Fast EMA,97,,,,,840.05,Yes,2024-10-17 00:00:00,848.83,-0.13,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-10-18 00:00:00,831.55,845.5,827.05,840.92,840.9,834.38,At/Below Slow EMA,99,,,,,827.05,Yes,2025-01-10 00:00:00,940.0,11.78,57d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,859.82,847.36,Between Slow & Fast EMA,111,,,,,848.95,Yes,2024-11-13 00:00:00,891.4,1.42,6d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,765.25,744.69,744.61,2024-11-19 00:00:00,857.0,876.88,851.35,871.12,861.48,852.31,At/Below Slow EMA,120,,,,,851.35,Yes,2025-01-07 00:00:00,940.0,7.91,33d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-04-08 00:00:00,882.5,891.0,875.15,884.58,883.81,871.72,Between Slow & Fast EMA,12,,,,,875.15,Yes,2026-03-02 00:00:00,1020.5,15.37,223d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,951.7,923.23,Between Slow & Fast EMA,35,,,,,948.5,Yes,2025-09-01 00:00:00,1018.85,5.37,75d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-05-22 00:00:00,957.6,962.1,952.6,959.95,956.03,930.5,Between Slow & Fast EMA,40,,,,,952.6,Yes,2025-08-29 00:00:00,1018.85,6.14,69d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-05-28 00:00:00,960.1,967.25,958.85,961.75,958.93,935.65,Between Slow & Fast EMA,44,,,,,958.85,Yes,2025-05-29 00:00:00,970.4,0.9,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,961.06,939.25,Between Slow & Fast EMA,47,,,,,954.0,Yes,2025-08-29 00:00:00,1018.85,5.47,62d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,962.03,941.35,Between Slow & Fast EMA,49,,,,,960.45,Yes,2025-06-13 00:00:00,998.15,2.84,7d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-06-20 00:00:00,965.8,984.95,965.8,982.35,969.48,953.67,Between Slow & Fast EMA,61,,,,,965.8,Yes,2025-08-28 00:00:00,1018.85,3.72,47d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-07-15 00:00:00,986.5,1001.8,986.5,997.75,991.49,974.85,Between Slow & Fast EMA,78,,,,,986.5,Yes,2025-07-18 00:00:00,1011.35,1.36,3d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-07-21 00:00:00,989.1,1001.0,988.25,1000.25,991.83,977.48,Between Slow & Fast EMA,82,,,,,988.25,Yes,2025-08-05 00:00:00,1018.85,1.86,11d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-07-29 00:00:00,999.95,1013.25,998.15,1010.8,998.33,983.72,Between Slow & Fast EMA,88,,,,,998.15,Yes,2025-08-04 00:00:00,1016.3,0.54,4d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,884.38,856.36,855.78,2025-08-11 00:00:00,987.95,998.8,986.55,997.8,997.7,988.05,At/Below Slow EMA,97,,,,,986.55,Yes,2025-08-12 00:00:00,998.0,0.02,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-03 00:00:00,985.0,994.55,983.3,992.65,990.2,982.76,Between Slow & Fast EMA,10,,,,,983.3,Yes,2025-11-06 00:00:00,997.0,0.44,2d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-11 00:00:00,983.5,993.5,978.0,991.7,988.59,983.31,At/Below Slow EMA,15,,,,,978.0,Yes,2025-11-14 00:00:00,999.0,0.74,3d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-14 00:00:00,976.05,991.65,976.05,989.6,988.59,983.91,At/Below Slow EMA,18,,,,,976.05,Yes,2025-12-18 00:00:00,1017.5,2.82,24d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-17 00:00:00,991.25,997.95,985.6,996.55,989.31,984.4,Between Slow & Fast EMA,19,,,,,985.6,Yes,2025-11-19 00:00:00,999.0,0.25,2d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-19 00:00:00,990.0,996.55,984.0,994.6,990.05,985.1,At/Below Slow EMA,21,,,,,984.0,Yes,2025-11-26 00:00:00,1011.6,1.71,5d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-11-26 00:00:00,981.3,1006.95,981.3,1003.9,993.69,987.77,At/Below Slow EMA,26,,,,,981.3,Yes,2025-12-17 00:00:00,1017.5,1.35,15d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-03 00:00:00,986.0,1002.3,986.0,1000.5,996.55,990.28,At/Below Slow EMA,31,,,,,986.0,Yes,2025-12-10 00:00:00,1008.0,0.75,5d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-05 00:00:00,992.0,1008.0,990.2,1003.3,997.22,991.05,At/Below Slow EMA,33,,,,,990.2,Yes,2025-12-10 00:00:00,1006.5,0.32,3d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-08 00:00:00,1000.0,1006.5,997.5,1003.1,997.75,991.52,Between Slow & Fast EMA,34,,,,,997.5,Yes,2025-12-09 00:00:00,1002.8,-0.03,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-11 00:00:00,990.0,1002.7,988.5,1000.3,997.28,992.01,At/Below Slow EMA,37,,,,,988.5,Yes,2025-12-17 00:00:00,1004.7,0.44,4d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-23 00:00:00,990.5,998.9,987.7,996.6,993.48,991.57,At/Below Slow EMA,45,,,,,987.7,Yes,2025-12-29 00:00:00,999.4,0.28,3d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2025-12-24 00:00:00,993.0,999.4,993.0,997.2,993.82,991.79,Between Slow & Fast EMA,46,,,,,993.0,Yes,2025-12-26 00:00:00,997.2,0.0,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,1002.55,975.5,974.2,2026-01-02 00:00:00,991.15,1003.2,988.8,1001.6,993.68,992.11,At/Below Slow EMA,52,,,,,988.8,Yes,2026-01-05 00:00:00,1006.4,0.48,1d
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,,,Between Slow & Fast EMA,6,920.3,919.85,929.21,925.98,928.45,Yes,2026-01-29 09:15:00,933.0,0.17,2h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-29 10:15:00,925.9,930.6,925.25,930.2,,,At/Below Slow EMA,9,920.3,919.85,929.3,926.88,925.25,Yes,2026-02-01 12:15:00,939.65,1.02,16h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-29 11:15:00,930.15,934.4,927.95,933.9,,,Between Slow & Fast EMA,10,920.3,919.85,930.13,927.55,927.95,Yes,2026-01-30 14:15:00,939.3,0.58,10h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,,,At/Below Slow EMA,15,920.3,919.85,933.94,930.94,930.0,Yes,2026-01-30 14:15:00,938.85,0.24,5h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-30 11:15:00,934.45,935.8,931.9,935.7,,,Between Slow & Fast EMA,17,920.3,919.85,934.33,931.69,931.9,Yes,2026-01-30 12:15:00,936.4,0.07,1h
