Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,0.75,7.0,9.33,559,43,512,4,7.7,-0.141,-78.71,6.78,-0.75,-0.143,0.8,-137.0,-0.57
All touches,0.75,7.5,10.0,559,42,512,5,7.6,-0.112,-62.71,7.14,-0.75,-0.115,0.84,-130.5,-0.48
All touches,0.75,8.0,10.67,559,39,515,5,7.0,-0.122,-67.96,7.58,-0.75,-0.124,0.82,-141.5,-0.48
All touches,0.75,8.5,11.33,559,33,521,5,6.0,-0.186,-103.96,7.97,-0.75,-0.189,0.73,-182.25,-0.57
All touches,0.75,9.0,12.0,559,25,529,5,4.5,-0.296,-165.46,8.26,-0.75,-0.299,0.58,-215.5,-0.77
All touches,0.75,9.5,12.67,559,22,532,5,4.0,-0.329,-183.71,8.61,-0.75,-0.331,0.54,-222.0,-0.83
All touches,0.75,10.0,13.33,559,20,534,5,3.6,-0.347,-194.21,8.97,-0.75,-0.35,0.52,-238.75,-0.81
All touches,0.75,10.5,14.0,559,15,539,5,2.7,-0.43,-240.46,9.1,-0.75,-0.433,0.41,-265.0,-0.91
All touches,0.75,11.0,14.67,559,12,542,5,2.2,-0.48,-268.21,9.22,-0.75,-0.482,0.34,-294.25,-0.91
All touches,0.75,11.5,15.33,559,12,542,5,2.2,-0.469,-262.21,9.62,-0.75,-0.472,0.35,-289.75,-0.9
All touches,0.75,12.0,16.0,559,11,543,5,2.0,-0.481,-268.96,9.88,-0.75,-0.484,0.34,-298.0,-0.9
All touches,0.75,12.5,16.67,559,11,543,5,2.0,-0.471,-263.46,10.27,-0.75,-0.474,0.35,-294.0,-0.9
All touches,0.75,13.0,17.33,559,10,544,5,1.8,-0.486,-271.71,10.48,-0.75,-0.489,0.33,-303.75,-0.89
All touches,0.75,13.5,18.0,559,10,544,5,1.8,-0.477,-266.71,10.87,-0.75,-0.48,0.35,-300.25,-0.89
All touches,0.75,14.0,18.67,559,8,544,7,1.4,-0.506,-282.98,9.62,-0.75,-0.509,0.31,-318.02,-0.89
All touches,0.75,14.5,19.33,559,8,544,7,1.4,-0.499,-278.98,9.92,-0.75,-0.502,0.32,-315.52,-0.88
All touches,0.75,15.0,20.0,559,8,544,7,1.4,-0.492,-274.98,10.23,-0.75,-0.495,0.33,-313.02,-0.88
