SL %,Target %,Trades,Win Rate %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Total PnL %,Max Drawdown %,Calmar (Tot/|DD|)
1.0,1.5,231,38.5,1.51,-1.84,-0.549,0.52,-123.04,-135.04,-0.91
1.0,2.0,231,32.0,2.0,-1.0,-0.039,0.95,-7.0,-43.0,-0.16
1.0,2.5,231,26.8,2.5,-1.0,-0.061,0.93,-12.0,-71.0,-0.17
1.0,3.0,231,23.8,3.0,-1.0,-0.048,0.95,-9.0,-75.0,-0.12
1.0,3.5,231,23.8,3.5,-1.0,0.071,1.11,18.5,-68.5,0.27
1.0,4.0,231,22.9,4.0,-1.0,0.147,1.2,36.0,-62.0,0.58
1.0,4.5,231,20.8,4.44,-1.0,0.131,1.18,32.23,-66.5,0.48
1.0,5.0,231,20.3,4.93,-1.0,0.207,1.27,49.73,-62.0,0.8
1.0,5.5,231,19.0,5.35,-1.0,0.209,1.27,50.29,-58.0,0.87
1.0,6.0,231,17.3,5.81,-1.0,0.179,1.23,43.29,-71.0,0.61
1.0,6.5,231,15.6,6.26,-1.0,0.131,1.17,32.29,-71.0,0.45
1.0,7.0,231,13.9,6.53,-1.0,0.044,1.06,12.09,-71.0,0.17
1.0,7.5,231,13.9,6.82,-1.0,0.083,1.11,21.09,-71.0,0.3
1.0,8.0,231,13.4,7.23,-1.0,0.104,1.13,26.09,-71.0,0.37
1.0,8.5,231,12.1,7.57,-1.0,0.039,1.06,11.09,-75.0,0.15
1.0,9.0,231,10.8,7.88,-1.0,-0.039,0.97,-6.91,-82.0,-0.08
1.0,9.5,231,10.4,8.25,-1.0,-0.039,0.97,-6.91,-79.5,-0.09
1.0,10.0,231,9.5,8.55,-1.0,-0.091,0.91,-18.91,-94.0,-0.2
1.0,10.5,231,7.4,8.51,-1.0,-0.3,0.68,-67.41,-112.0,-0.6
1.0,11.0,231,6.1,8.44,-1.0,-0.428,0.55,-96.91,-134.0,-0.72
1.0,11.5,231,6.1,8.79,-1.0,-0.407,0.57,-91.91,-132.5,-0.69
1.0,12.0,231,6.1,9.15,-1.0,-0.385,0.6,-86.91,-131.0,-0.66
1.5,2.0,231,40.3,2.0,-1.5,-0.089,0.91,-17.49,-49.5,-0.35
1.5,2.5,231,33.8,2.5,-1.5,-0.147,0.86,-30.99,-96.5,-0.32
1.5,3.0,231,29.4,3.0,-1.5,-0.173,0.85,-36.99,-94.5,-0.39
1.5,3.5,231,29.4,3.5,-1.5,-0.026,0.99,-2.99,-92.5,-0.03
1.5,4.0,231,28.6,4.0,-1.5,0.074,1.08,20.01,-90.5,0.22
1.5,4.5,231,26.0,4.45,-1.5,0.049,1.06,14.24,-90.0,0.16
1.5,5.0,231,24.2,4.94,-1.5,0.064,1.07,17.74,-92.5,0.19
1.5,5.5,231,21.2,5.36,-1.5,-0.042,0.98,-6.7,-104.0,-0.06
1.5,6.0,231,19.0,5.82,-1.5,-0.103,0.93,-20.7,-121.5,-0.17
1.5,6.5,231,17.3,6.28,-1.5,-0.15,0.89,-31.7,-121.0,-0.26
1.5,7.0,231,15.6,6.59,-1.5,-0.238,0.82,-51.9,-130.0,-0.4
1.5,7.5,231,15.6,6.89,-1.5,-0.19,0.86,-40.9,-126.0,-0.32
1.5,8.0,231,14.7,7.3,-1.5,-0.203,0.85,-43.9,-131.5,-0.33
1.5,8.5,231,13.0,7.64,-1.49,-0.307,0.77,-67.97,-141.47,-0.48
1.5,9.0,231,11.3,7.93,-1.49,-0.428,0.68,-95.86,-155.86,-0.62
1.5,9.5,231,11.3,8.35,-1.49,-0.38,0.72,-84.86,-151.36,-0.56
1.5,10.0,231,10.4,8.67,-1.49,-0.432,0.68,-96.86,-169.86,-0.57
1.5,10.5,231,8.2,8.72,-1.49,-0.649,0.53,-146.86,-187.36,-0.78
1.5,11.0,231,6.9,8.76,-1.49,-0.779,0.44,-176.86,-203.86,-0.87
1.5,11.5,231,6.9,9.13,-1.49,-0.753,0.46,-170.86,-199.36,-0.86
1.5,12.0,231,6.9,9.51,-1.49,-0.727,0.48,-164.86,-194.86,-0.85
2.0,2.5,231,37.7,2.47,-1.99,-0.311,0.76,-67.93,-123.0,-0.55
2.0,3.0,231,33.8,2.96,-1.99,-0.32,0.77,-69.93,-125.0,-0.56
2.0,3.5,231,33.3,3.46,-1.99,-0.177,0.88,-36.93,-117.0,-0.32
2.0,4.0,231,32.5,3.95,-1.99,-0.065,0.96,-10.93,-114.0,-0.1
2.0,4.5,231,29.9,4.4,-1.99,-0.085,0.95,-15.7,-113.0,-0.14
2.0,5.0,231,28.1,4.87,-1.99,-0.061,0.97,-10.2,-116.0,-0.09
2.0,5.5,231,24.7,5.29,-1.99,-0.198,0.88,-41.64,-139.5,-0.3
2.0,6.0,231,22.1,5.73,-1.99,-0.288,0.82,-62.64,-170.0,-0.37
2.0,6.5,231,20.3,6.18,-1.99,-0.332,0.8,-72.64,-171.5,-0.42
2.0,7.0,231,18.6,6.49,-1.99,-0.415,0.75,-91.84,-183.0,-0.5
2.0,7.5,231,18.6,6.82,-1.99,-0.354,0.79,-77.84,-178.5,-0.44
2.0,8.0,231,17.7,7.22,-1.99,-0.359,0.79,-78.84,-184.0,-0.43
2.0,8.5,231,16.0,7.57,-1.98,-0.452,0.74,-100.34,-197.84,-0.51
2.0,9.0,231,14.7,7.92,-1.97,-0.518,0.7,-115.73,-211.73,-0.55
2.0,9.5,231,14.7,8.34,-1.97,-0.455,0.74,-101.23,-206.23,-0.49
2.0,10.0,231,13.4,8.65,-1.97,-0.548,0.69,-122.73,-224.73,-0.55
2.0,10.5,231,11.3,8.68,-1.97,-0.776,0.56,-175.31,-239.81,-0.73
2.0,11.0,231,10.0,8.81,-1.98,-0.902,0.5,-204.31,-255.31,-0.8
