timestamp,instrument,expiry,max_call_oi_strike,wall_call_oi,call_oi_pct_change,put_oi_pct_changes,candle_close,spot,entry_strike,entry_premium,lot_size,premium_eod,premium_max_after,premium_min_after,bracket
2020-06-18 13:40:00,NIFTY,2020-06-18,10000,5141400.0,-12.86,"{9950: 10.77, 9900: 5.38}",10009.45,10010.6,10000,23.0,75,91.3000030517578,108.0,15.850000381469728,TP
2020-07-09 13:40:00,NIFTY,2020-07-09,10800,6691650.0,-10.25,"{10750: 15.98, 10700: 10.95}",10807.35,10807.4,10800,22.100000381469727,75,13.600000381469728,28.0,2.5,SL
2021-01-14 13:51:00,NIFTY,2021-01-14,14600,7283625.0,-13.58,"{14550: 11.22, 14500: -5.83}",14600.25,14603.05,14600,21.0,75,0.050000000745058,24.549999237060547,0.050000000745058,SL
2022-01-27 13:15:00,NIFTY,2022-01-27,17000,12862500.0,-11.93,"{16950: 34.18, 16900: 0.66}",17007.45,17006.2,17000,45.150001525878906,75,109.6999969482422,174.64999389648438,32.20000076293945,TP
2023-03-29 13:21:00,NIFTY,2023-03-29,17000,20890150.0,-17.34,"{16950: 18.6, 16900: -0.7}",17005.6,17011.55,17000,33.70000076293945,75,81.44999694824219,91.0500030517578,12.0,TP
2023-10-12 10:53:00,NIFTY,2023-10-12,19800,33082700.0,-20.21,"{19750: 11.45, 19700: 3.73}",19807.75,19819.9,19800,31.149999618530277,75,0.050000000745058,33.400001525878906,0.050000000745058,SL
2024-02-22 13:43:00,NIFTY,2024-02-22,22000,28206550.0,-28.18,"{21950: 18.71, 21900: 5.51}",22000.1,22010.65,22000,36.70000076293945,75,217.0500030517578,229.0,30.799999237060547,TP
2024-03-07 11:05:00,NIFTY,2024-03-07,22500,26337100.0,-11.0,"{22450: 13.02, 22400: 5.65}",22504.5,22500.0,22500,42.45000076293945,75,0.050000000745058,39.29999923706055,0.050000000745058,SL
2024-04-04 13:25:00,NIFTY,2024-04-04,22500,20332100.0,-21.91,"{22450: 13.1, 22400: 4.52}",22521.3,22525.1,22550,28.149999618530277,75,0.050000000745058,65.0,0.050000000745058,TP
2024-04-25 13:55:00,NIFTY,2024-04-25,22500,28834250.0,-11.81,"{22450: 16.13, 22400: 1.12}",22509.1,22504.4,22500,69.0999984741211,75,72.0,158.5,55.09999847412109,TP
2024-06-27 12:15:00,NIFTY,2024-06-27,24000,21166625.0,-14.75,"{23950: 27.17, 23900: 7.21}",24005.35,24002.85,24000,77.05000305175781,75,44.650001525878906,98.9499969482422,5.449999809265137,SL
2025-03-06 13:50:00,NIFTY,2025-03-06,22500,238718.0,-11.72,"{22450: 21.84, 22400: -0.22}",22505.15,22499.45,22500,27.799999237060547,75,44.59999847412109,50.95000076293945,12.5,SL
2025-04-09 11:31:00,NIFTY,2025-04-09,22400,303192.0,-11.06,"{22350: 10.01, 22300: -0.25}",22408.4,22420.35,22400,23.399999618530277,75,0.050000000745058,42.0,0.050000000745058,SL
2026-04-07 13:35:00,NIFTY,2026-04-07,23000,217026.0,-31.71,"{22950: 22.76, 22900: None}",23012.8,23015.25,23000,67.69999694824219,75,123.3499984741211,131.89999389648438,28.450000762939453,SL
