timestamp,instrument,expiry,max_call_oi_strike,wall_call_oi,call_oi_pct_change,put_oi_pct_changes,candle_close,spot,entry_strike,entry_premium,lot_size,premium_eod,premium_max_after,premium_min_after,bracket
2020-04-23 14:18:00,NIFTY,2020-04-23,9300,3192525.0,-14.53,"{9250: 47.43, 9200: 20.9}",9312.8,9315.25,9300,22.450000762939453,75,13.699999809265137,42.20000076293945,8.149999618530273,SL
2020-06-18 13:40:00,NIFTY,2020-06-18,10000,5141400.0,-18.98,"{9950: 28.05, 9900: 12.25}",10009.45,10010.6,10000,23.0,75,91.3000030517578,108.0,15.850000381469728,TP
2020-07-09 13:42:00,NIFTY,2020-07-09,10800,6419775.0,-12.05,"{10750: 17.79, 10700: 16.05}",10807.35,10798.55,10800,17.399999618530273,75,13.600000381469728,28.0,2.5,SL
2020-12-24 12:40:00,NIFTY,2020-12-24,13700,5919675.0,-10.29,"{13650: 14.27, 13600: 1.63}",13703.9,13705.6,13700,27.5,75,48.79999923706055,72.0,18.049999237060547,TP
2021-01-14 13:51:00,NIFTY,2021-01-14,14600,7283625.0,-13.15,"{14550: 12.48, 14500: -4.2}",14600.25,14603.05,14600,21.0,75,0.050000000745058,24.549999237060547,0.050000000745058,SL
2021-07-22 10:53:00,NIFTY,2021-07-22,15800,8087850.0,-11.22,"{15750: 14.43, 15700: 2.82}",15807.95,15812.75,15800,26.75,75,23.850000381469727,34.79999923706055,0.8999999761581421,SL
2021-08-05 12:50:00,NIFTY,2021-08-05,16300,7879750.0,-12.51,"{16250: 12.96, 16200: -1.08}",16306.45,16313.15,16300,24.450000762939453,75,0.050000000745058,50.900001525878906,0.050000000745058,TP
2021-09-02 14:05:00,NIFTY,2021-09-02,17200,8442250.0,-11.5,"{17150: 6.9, 17100: 3.33}",17208.65,17211.05,17200,20.649999618530277,75,34.04999923706055,45.75,15.550000190734863,TP
2021-09-16 14:06:00,NIFTY,2021-09-16,17600,8310750.0,-11.52,"{17550: 5.01, 17500: -12.88}",17602.4,17600.8,17600,15.199999809265137,75,29.5,42.0,12.649999618530272,TP
2021-09-23 14:35:00,NIFTY,2021-09-23,17800,7100800.0,-27.14,"{17750: 5.45, 17700: -18.41}",17807.1,17813.65,17800,20.399999618530277,75,23.0,35.900001525878906,7.25,SL
2021-10-14 11:11:00,NIFTY,2021-10-14,18300,8760950.0,-10.94,"{18250: 15.64, 18200: 4.09}",18302.05,18293.85,18300,24.450000762939453,75,38.650001525878906,43.0,4.650000095367432,SL
2022-01-27 13:15:00,NIFTY,2022-01-27,17000,12862500.0,-10.71,"{16950: 33.65, 16900: 5.32}",17007.45,17006.2,17000,45.150001525878906,75,109.6999969482422,174.64999389648438,32.20000076293945,TP
2022-04-21 14:30:00,NIFTY,2022-04-21,17400,11365550.0,-12.23,"{17350: 5.26, 17300: -14.42}",17405.45,17400.75,17400,20.0,75,0.050000000745058,22.299999237060547,0.050000000745058,SL
2022-04-28 12:54:00,NIFTY,2022-04-28,17200,11406500.0,-10.23,"{17150: 20.0, 17100: 5.11}",17201.7,17212.95,17200,32.95000076293945,75,44.95000076293945,120.75,32.5,TP
2022-12-29 14:42:00,NIFTY,2022-12-29,18100,14638450.0,-15.36,"{18050: 16.54, 18000: -14.15}",18101.3,18113.45,18100,24.799999237060547,75,90.8499984741211,98.0,23.899999618530277,TP
2023-03-23 12:51:00,NIFTY,2023-03-23,17200,15414750.0,-11.41,"{17150: 22.26, 17100: -2.56}",17200.85,17198.85,17200,31.799999237060547,75,0.050000000745058,28.799999237060547,0.050000000745058,SL
2023-03-29 13:21:00,NIFTY,2023-03-29,17000,20890150.0,-18.91,"{16950: 29.85, 16900: 4.45}",17005.6,17011.55,17000,33.70000076293945,75,81.44999694824219,91.0500030517578,12.0,TP
2023-06-28 13:40:00,NIFTY,2023-06-28,19000,21321850.0,-14.35,"{18950: 15.51, 18900: 1.67}",19001.4,19003.65,19000,28.600000381469727,75,0.050000000745058,33.900001525878906,0.050000000745058,SL
2023-10-12 10:47:00,NIFTY,2023-10-12,19800,32878950.0,-13.05,"{19750: 14.43, 19700: 11.41}",19813.85,19814.2,19800,31.0,75,0.050000000745058,33.650001525878906,0.050000000745058,SL
2023-11-30 13:45:00,NIFTY,2023-11-30,20100,24692250.0,-27.36,"{20050: 5.23, 20000: -13.08}",20102.45,20098.6,20100,29.549999237060547,75,33.099998474121094,58.04999923706055,4.550000190734863,SL
2023-12-14 13:25:00,NIFTY,2023-12-14,21200,31465150.0,-25.52,"{21150: 18.85, 21100: -11.39}",21201.05,21200.1,21200,19.049999237060547,75,0.050000000745058,26.399999618530277,0.050000000745058,SL
2024-02-22 13:43:00,NIFTY,2024-02-22,22000,28206550.0,-26.62,"{21950: 25.31, 21900: 6.47}",22000.1,22010.65,22000,36.70000076293945,75,217.0500030517578,229.0,30.799999237060547,TP
2024-04-04 13:25:00,NIFTY,2024-04-04,22500,20332100.0,-15.42,"{22450: 24.18, 22400: 8.58}",22521.3,22525.1,22550,28.149999618530277,75,0.050000000745058,65.0,0.050000000745058,TP
2024-06-27 12:15:00,NIFTY,2024-06-27,24000,21166625.0,-11.66,"{23950: 54.45, 23900: 13.42}",24005.35,24002.85,24000,77.05000305175781,75,44.650001525878906,98.9499969482422,5.449999809265137,SL
2024-08-22 11:42:00,NIFTY,2024-08-22,24800,24711900.0,-10.72,"{24750: 12.01, 24700: -1.23}",24826.0,24844.55,24850,20.450000762939453,75,0.050000000745058,20.399999618530277,0.050000000745058,SL
2024-09-12 14:06:00,NIFTY,2024-09-12,25100,19924875.0,-14.01,"{25050: 70.27, 25000: 7.26}",25133.95,25172.3,25150,77.9000015258789,75,240.1000061035156,274.6499938964844,58.29999923706055,TP
2025-01-09 12:20:00,NIFTY,2025-01-09,23600,235431.0,-17.34,"{23550: 8.62, 23500: -3.48}",23606.55,23600.15,23600,32.099998474121094,75,0.050000000745058,28.299999237060547,0.050000000745058,SL
2025-03-06 13:55:00,NIFTY,2025-03-06,22500,204002.0,-17.75,"{22450: 47.81, 22400: 3.32}",22507.65,22500.5,22500,27.049999237060547,75,44.59999847412109,50.95000076293945,12.5,SL
2025-03-20 12:50:00,NIFTY,2025-03-20,23100,259941.0,-12.29,"{23050: 6.13, 23000: 0.95}",23101.1,23105.0,23100,25.5,75,90.3499984741211,119.8000030517578,19.350000381469727,TP
