Symbol
RELIANCE
HDFCBANK
ICICIBANK
INFY
TCS
ITC
LT
KOTAKBANK
AXISBANK
SBIN
BHARTIARTL
HINDUNILVR
BAJFINANCE
M&M
SUNPHARMA
NTPC
MARUTI
TITAN
ULTRACEMCO
ASIANPAINT
TATAMOTORS
POWERGRID
TATASTEEL
NESTLEIND
BAJAJFINSV
TECHM
INDUSINDBK
ADANIPORTS
WIPRO
JSWSTEEL
