timestamp,open,high,low,close,volume,datetime
1767239100,1615.4,1624.6,1615.2,1622.4,383249,2026-01-01
1767242700,1622.2,1628.0,1621.1,1626.2,769020,2026-01-01
1767246300,1626.0,1638.7,1625.0,1635.4,1365119,2026-01-01
1767249900,1635.0,1639.5,1633.2,1636.8,1826864,2026-01-01
1767253500,1636.3,1638.5,1632.0,1636.0,2370452,2026-01-01
1767257100,1635.5,1636.2,1627.5,1629.3,3207972,2026-01-01
1767260700,1629.4,1631.7,1626.9,1629.5,3657421,2026-01-01
1767325500,1635.9,1638.8,1627.6,1634.0,463358,2026-01-02
1767329100,1634.1,1640.0,1631.7,1639.0,773245,2026-01-02
1767332700,1639.5,1643.5,1637.6,1639.3,1276542,2026-01-02
1767336300,1639.8,1640.8,1637.0,1639.2,1514984,2026-01-02
1767339900,1639.3,1642.8,1638.5,1640.4,1791686,2026-01-02
1767343500,1640.1,1642.0,1635.8,1639.3,2276431,2026-01-02
1767347100,1639.4,1642.6,1638.7,1642.1,2523765,2026-01-02
1767584700,1637.0,1637.0,1583.1,1591.1,1870042,2026-01-05
1767588300,1591.2,1601.5,1590.5,1600.5,2774210,2026-01-05
1767591900,1600.7,1603.4,1598.4,1602.2,3312310,2026-01-05
1767595500,1602.3,1609.1,1600.8,1607.1,3843109,2026-01-05
1767599100,1607.0,1611.3,1603.0,1604.6,4500808,2026-01-05
1767602700,1604.7,1608.6,1603.1,1606.4,5419153,2026-01-05
1767606300,1606.3,1607.2,1603.0,1604.9,5917292,2026-01-05
1767671100,1600.1,1616.1,1599.0,1609.6,915192,2026-01-06
1767674700,1609.7,1619.8,1605.4,1617.6,1553499,2026-01-06
1767678300,1618.0,1619.0,1611.2,1612.0,2066676,2026-01-06
1767681900,1612.1,1615.1,1611.9,1613.3,2563337,2026-01-06
1767685500,1613.2,1613.7,1608.2,1608.5,2894256,2026-01-06
1767689100,1608.9,1614.6,1608.4,1613.1,3912420,2026-01-06
1767692700,1613.6,1613.6,1605.0,1605.0,4465345,2026-01-06
1767757500,1615.0,1635.7,1615.0,1634.2,1258891,2026-01-07
1767761100,1634.0,1634.3,1628.4,1632.8,1608257,2026-01-07
1767764700,1632.3,1637.0,1627.2,1629.1,2252408,2026-01-07
1767768300,1629.2,1636.8,1627.1,1635.6,2663557,2026-01-07
1767771900,1635.5,1639.5,1632.2,1639.5,3037451,2026-01-07
1767775500,1639.4,1641.5,1633.6,1641.1,4034604,2026-01-07
1767779100,1641.3,1642.0,1639.0,1640.0,4507485,2026-01-07
1767843900,1638.9,1644.3,1623.0,1627.9,655281,2026-01-08
1767847500,1627.8,1627.8,1619.5,1625.9,1231279,2026-01-08
1767851100,1625.6,1628.8,1618.9,1620.6,1847463,2026-01-08
1767854700,1620.7,1622.0,1615.0,1616.4,2191477,2026-01-08
1767858300,1616.3,1616.4,1611.0,1613.0,2530441,2026-01-08
1767861900,1612.9,1616.0,1608.6,1613.5,3440433,2026-01-08
1767865500,1613.4,1614.9,1611.7,1612.6,3941559,2026-01-08
1767930300,1610.0,1631.3,1610.0,1617.8,1295016,2026-01-09
1767933900,1618.0,1625.5,1617.1,1622.9,2248117,2026-01-09
1767937500,1623.0,1627.9,1614.0,1614.2,3152871,2026-01-09
1767941100,1614.7,1615.7,1609.3,1613.8,4329267,2026-01-09
1767944700,1613.6,1616.4,1608.0,1609.5,4914936,2026-01-09
1767948300,1610.2,1615.0,1607.3,1614.5,6208926,2026-01-09
1767951900,1613.9,1620.0,1613.6,1616.9,6816214,2026-01-09
1768189500,1610.1,1612.5,1595.1,1601.0,1449396,2026-01-12
1768193100,1601.4,1603.6,1596.0,1601.9,2120086,2026-01-12
1768196700,1602.1,1604.5,1592.6,1604.4,3157017,2026-01-12
1768200300,1603.6,1613.1,1601.2,1603.4,4053113,2026-01-12
1768203900,1603.1,1603.5,1596.1,1597.4,4828518,2026-01-12
1768207500,1597.0,1598.9,1593.1,1594.8,6320237,2026-01-12
1768211100,1594.9,1598.5,1594.8,1598.0,6984135,2026-01-12
1768275900,1618.0,1618.0,1587.0,1593.7,1793194,2026-01-13
1768279500,1594.0,1599.9,1588.4,1594.0,2724591,2026-01-13
1768283100,1593.6,1595.6,1589.5,1590.4,3426964,2026-01-13
1768286700,1590.1,1592.3,1586.4,1590.2,4061960,2026-01-13
1768290300,1590.0,1591.9,1587.5,1588.5,4855266,2026-01-13
1768293900,1588.8,1602.5,1587.7,1600.3,7447706,2026-01-13
1768297500,1600.4,1600.7,1597.0,1600.0,8080305,2026-01-13
1768362300,1588.0,1610.3,1587.1,1596.9,1282648,2026-01-14
1768365900,1597.2,1603.2,1592.1,1598.5,2463917,2026-01-14
1768369500,1598.9,1605.0,1597.9,1603.6,3169176,2026-01-14
1768373100,1603.7,1606.0,1599.7,1601.1,3757193,2026-01-14
1768376700,1601.0,1601.2,1583.6,1586.1,4270242,2026-01-14
1768380300,1586.4,1604.9,1585.2,1594.6,6527842,2026-01-14
1768383900,1594.8,1616.6,1594.5,1607.0,7554678,2026-01-14
1768535100,1663.7,1681.8,1653.9,1673.3,7459821,2026-01-16
1768538700,1673.7,1685.5,1673.6,1684.8,9962680,2026-01-16
1768542300,1684.5,1692.9,1682.6,1692.9,12833473,2026-01-16
1768545900,1692.8,1693.0,1684.7,1686.0,14431528,2026-01-16
1768549500,1686.5,1687.4,1679.0,1682.2,16170367,2026-01-16
1768553100,1682.6,1692.3,1678.6,1692.0,18107008,2026-01-16
1768556700,1692.1,1693.2,1687.9,1689.1,19333694,2026-01-16
1768794300,1685.0,1685.0,1666.6,1674.5,903442,2026-01-19
1768797900,1674.7,1679.4,1672.3,1679.1,1267656,2026-01-19
1768801500,1679.2,1684.5,1677.3,1680.5,1815322,2026-01-19
1768805100,1681.0,1682.0,1674.4,1676.7,2571498,2026-01-19
1768808700,1676.6,1684.7,1676.3,1682.4,3648768,2026-01-19
1768812300,1682.3,1684.3,1679.1,1682.1,4637355,2026-01-19
1768815900,1682.0,1683.0,1677.4,1679.9,5104780,2026-01-19
1768880700,1673.0,1679.7,1669.2,1670.6,549427,2026-01-20
1768884300,1670.5,1674.6,1668.4,1671.5,1133194,2026-01-20
1768887900,1671.3,1673.5,1665.7,1668.6,1793859,2026-01-20
1768891500,1668.5,1669.0,1665.1,1665.5,2218628,2026-01-20
1768895100,1665.3,1666.8,1661.2,1663.3,2959502,2026-01-20
1768898700,1663.5,1666.9,1656.7,1657.7,5351909,2026-01-20
1768902300,1658.0,1660.0,1653.2,1654.4,6406218,2026-01-20
1768967100,1651.0,1657.0,1638.2,1646.8,1568193,2026-01-21
1768970700,1647.2,1648.5,1631.3,1639.4,2448298,2026-01-21
1768974300,1639.9,1649.0,1636.7,1647.5,3130172,2026-01-21
1768977900,1647.9,1657.0,1647.0,1652.4,3830708,2026-01-21
1768981500,1651.9,1653.6,1647.2,1651.0,4603432,2026-01-21
1768985100,1651.4,1656.6,1647.0,1653.7,5740539,2026-01-21
1768988700,1653.6,1655.8,1652.7,1655.1,6223812,2026-01-21
1769053500,1666.0,1671.2,1662.1,1665.3,751376,2026-01-22
1769057100,1665.4,1666.5,1656.1,1658.5,1415003,2026-01-22
1769060700,1659.0,1662.2,1654.5,1660.4,2037580,2026-01-22
1769064300,1660.1,1663.5,1653.8,1654.8,3152689,2026-01-22
1769067900,1655.2,1660.7,1653.8,1656.4,3900190,2026-01-22
1769071500,1656.1,1666.6,1654.2,1663.3,5567443,2026-01-22
1769075100,1663.4,1667.1,1662.4,1662.8,6228699,2026-01-22
1769139900,1667.2,1674.5,1664.9,1670.2,1147960,2026-01-23
1769143500,1670.3,1670.7,1665.6,1667.0,1639346,2026-01-23
1769147100,1667.1,1670.9,1665.1,1670.0,2206454,2026-01-23
1769150700,1670.7,1672.0,1666.8,1669.5,3053485,2026-01-23
1769154300,1669.4,1669.4,1662.9,1663.7,3724378,2026-01-23
1769157900,1663.2,1672.1,1662.3,1670.2,5290955,2026-01-23
1769161500,1670.1,1674.1,1669.7,1672.0,5868494,2026-01-23
1769485500,1685.8,1685.8,1661.4,1679.9,2434022,2026-01-27
1769489100,1679.8,1683.7,1672.5,1672.7,3650281,2026-01-27
1769492700,1672.9,1683.5,1672.2,1681.1,4517102,2026-01-27
1769496300,1681.4,1682.8,1678.3,1680.3,5463435,2026-01-27
1769499900,1680.5,1681.4,1677.9,1680.4,6477535,2026-01-27
1769503500,1680.5,1682.3,1679.3,1681.6,9344159,2026-01-27
1769507100,1681.7,1689.1,1681.1,1687.4,10672599,2026-01-27
1769571900,1680.0,1688.7,1659.1,1663.0,1782194,2026-01-28
1769575500,1663.7,1669.0,1654.7,1660.3,2765300,2026-01-28
1769579100,1660.0,1662.6,1652.0,1659.0,3812500,2026-01-28
1769582700,1659.1,1659.2,1650.0,1654.9,4659219,2026-01-28
1769586300,1654.8,1658.3,1651.6,1656.5,5569592,2026-01-28
1769589900,1656.6,1667.1,1654.0,1665.9,7528371,2026-01-28
1769593500,1666.0,1670.2,1663.4,1666.0,8587953,2026-01-28
1769658300,1658.0,1659.9,1642.2,1648.7,732740,2026-01-29
1769661900,1648.9,1654.0,1642.5,1650.9,1070514,2026-01-29
1769665500,1650.8,1653.0,1646.1,1648.5,1592052,2026-01-29
1769669100,1648.2,1661.0,1645.3,1660.0,2145476,2026-01-29
1769672700,1659.9,1664.7,1658.3,1661.5,2598728,2026-01-29
1769676300,1661.2,1662.7,1658.5,1658.5,3944949,2026-01-29
1769679900,1659.0,1661.7,1655.6,1661.0,4748579,2026-01-29
1769744700,1655.0,1655.0,1619.1,1625.5,1127746,2026-01-30
1769748300,1625.8,1628.0,1618.6,1622.1,1914319,2026-01-30
1769751900,1622.0,1626.7,1618.1,1625.9,2759391,2026-01-30
1769755500,1626.2,1630.3,1624.2,1627.6,3354154,2026-01-30
1769759100,1627.4,1636.6,1625.7,1635.5,3990111,2026-01-30
1769762700,1635.6,1642.4,1632.8,1641.0,7393161,2026-01-30
1769766300,1640.9,1644.4,1640.1,1641.2,9207413,2026-01-30
1769917500,1630.0,1630.0,1605.1,1616.2,667064,2026-02-01
1769921100,1616.7,1622.3,1612.7,1620.8,996841,2026-02-01
1769924700,1620.7,1661.7,1611.2,1638.3,2300259,2026-02-01
1769928300,1638.8,1670.8,1607.4,1660.7,3490649,2026-02-01
1769931900,1660.0,1677.0,1648.0,1656.0,4336798,2026-02-01
1769935500,1655.4,1664.6,1653.2,1660.0,5912316,2026-02-01
1769939100,1660.2,1660.9,1637.1,1642.0,6240827,2026-02-01
1770003900,1662.0,1662.0,1626.4,1628.4,1294105,2026-02-02
1770007500,1628.1,1640.0,1623.0,1633.0,2684235,2026-02-02
1770011100,1632.9,1635.1,1625.6,1631.2,3669213,2026-02-02
1770014700,1631.4,1632.7,1623.0,1629.7,4252826,2026-02-02
1770018300,1629.5,1630.0,1619.9,1620.8,4598753,2026-02-02
1770021900,1621.1,1631.7,1618.1,1629.6,6118124,2026-02-02
1770025500,1629.7,1631.8,1625.3,1627.0,6783626,2026-02-02
1770090300,1727.2,1727.2,1657.6,1662.2,3266399,2026-02-03
1770093900,1662.5,1673.6,1662.3,1672.1,4187101,2026-02-03
1770097500,1671.7,1680.0,1671.2,1674.0,4635876,2026-02-03
1770101100,1673.9,1673.9,1664.5,1665.3,5207393,2026-02-03
1770104700,1665.9,1666.6,1659.0,1665.3,5937477,2026-02-03
1770108300,1665.4,1666.5,1653.7,1655.9,7715696,2026-02-03
1770111900,1656.2,1658.0,1653.3,1654.7,8804873,2026-02-03
1770176700,1574.0,1574.0,1548.8,1550.6,8476263,2026-02-04
1770180300,1550.1,1550.6,1534.0,1536.1,12889496,2026-02-04
1770183900,1536.4,1537.2,1517.3,1520.8,16715922,2026-02-04
1770187500,1520.6,1524.0,1510.1,1518.9,19553102,2026-02-04
1770191100,1518.6,1538.6,1517.2,1531.4,23253595,2026-02-04
1770194700,1531.2,1541.6,1531.2,1535.1,27117757,2026-02-04
1770198300,1535.2,1537.0,1532.5,1534.0,28813977,2026-02-04
1770263100,1534.0,1548.1,1526.9,1542.5,2507405,2026-02-05
1770266700,1542.7,1550.9,1533.0,1535.6,3668032,2026-02-05
1770270300,1535.9,1537.1,1520.3,1522.8,4976702,2026-02-05
1770273900,1522.5,1523.0,1516.5,1518.9,6568924,2026-02-05
1770277500,1519.1,1524.5,1515.8,1521.0,8042787,2026-02-05
1770281100,1520.7,1525.6,1517.7,1519.8,9829550,2026-02-05
1770284700,1519.9,1522.1,1517.4,1520.0,10627418,2026-02-05
1770349500,1522.1,1522.5,1480.1,1496.7,4342427,2026-02-06
1770353100,1496.6,1505.0,1496.0,1496.8,5919583,2026-02-06
1770356700,1497.0,1509.8,1496.6,1502.5,7288460,2026-02-06
1770360300,1502.6,1502.7,1496.9,1497.0,8649914,2026-02-06
1770363900,1497.1,1506.0,1496.6,1501.6,10028582,2026-02-06
1770367500,1501.8,1510.0,1500.5,1507.0,12806465,2026-02-06
1770371100,1506.5,1508.9,1503.0,1505.7,13899913,2026-02-06
1770608700,1522.1,1527.7,1498.0,1498.7,2268373,2026-02-09
1770612300,1498.6,1508.3,1497.2,1507.0,3355932,2026-02-09
1770615900,1506.8,1507.0,1501.0,1501.1,4215870,2026-02-09
1770619500,1501.2,1501.8,1493.0,1496.2,5480197,2026-02-09
1770623100,1496.1,1498.3,1495.4,1497.0,6320033,2026-02-09
1770626700,1496.8,1499.3,1495.1,1496.8,7655718,2026-02-09
1770630300,1496.9,1498.1,1495.0,1497.0,8292305,2026-02-09
1770695100,1500.0,1505.9,1491.5,1501.7,2149381,2026-02-10
1770698700,1501.4,1515.6,1501.4,1509.9,3289008,2026-02-10
1770702300,1509.8,1510.6,1503.3,1504.7,3992467,2026-02-10
1770705900,1504.6,1507.4,1501.1,1506.8,4880137,2026-02-10
1770709500,1506.6,1508.2,1499.4,1499.9,5596603,2026-02-10
1770713100,1500.0,1503.5,1495.6,1496.8,7875320,2026-02-10
1770716700,1496.7,1497.3,1493.1,1494.8,8653392,2026-02-10
1770781500,1501.2,1505.9,1485.8,1488.0,1795901,2026-02-11
1770785100,1488.1,1491.9,1485.3,1487.5,2529022,2026-02-11
1770788700,1487.4,1491.7,1482.7,1484.2,3164105,2026-02-11
1770792300,1484.1,1484.6,1478.9,1480.2,4130711,2026-02-11
1770795900,1480.1,1484.0,1473.2,1477.6,5199951,2026-02-11
1770799500,1477.5,1478.0,1470.8,1472.2,7071890,2026-02-11
1770803100,1472.1,1472.4,1469.1,1471.0,7931236,2026-02-11
1770867900,1428.9,1435.6,1395.7,1407.1,8516978,2026-02-12
1770871500,1407.4,1409.0,1401.4,1405.1,11118566,2026-02-12
1770875100,1405.0,1406.4,1396.5,1399.5,13020685,2026-02-12
1770878700,1399.4,1403.6,1396.2,1398.7,14299654,2026-02-12
1770882300,1398.4,1400.9,1385.4,1387.9,17240312,2026-02-12
1770885900,1387.5,1395.0,1383.0,1387.0,23664722,2026-02-12
1770889500,1386.7,1387.6,1380.5,1384.0,26041090,2026-02-12
1770954300,1293.9,1323.9,1282.7,1299.9,13600359,2026-02-13
1770957900,1299.8,1335.7,1299.0,1335.0,20662305,2026-02-13
1770961500,1335.4,1373.4,1328.6,1369.1,29380828,2026-02-13
1770965100,1369.0,1372.1,1353.7,1356.8,36160321,2026-02-13
1770968700,1356.7,1371.0,1349.8,1370.1,40450663,2026-02-13
1770972300,1370.2,1377.3,1367.0,1369.6,44339838,2026-02-13
1770975900,1369.5,1370.9,1366.5,1369.0,45783961,2026-02-13
1771213500,1373.7,1373.7,1344.5,1351.6,4045822,2026-02-16
1771217100,1351.5,1356.9,1341.0,1344.0,6008630,2026-02-16
1771220700,1344.3,1348.5,1338.3,1346.4,7885555,2026-02-16
1771224300,1346.7,1349.8,1343.4,1346.3,10344479,2026-02-16
1771227900,1346.5,1348.9,1342.0,1344.9,11423317,2026-02-16
1771231500,1345.0,1369.0,1343.0,1366.7,14073172,2026-02-16
1771235100,1366.4,1370.0,1364.3,1370.0,14620065,2026-02-16
1771299900,1370.0,1410.8,1367.0,1405.3,7804408,2026-02-17
1771303500,1405.4,1407.8,1400.0,1404.2,10105646,2026-02-17
1771307100,1404.1,1428.2,1404.0,1426.5,14634845,2026-02-17
1771310700,1426.3,1431.0,1416.0,1417.5,17904200,2026-02-17
1771314300,1417.2,1418.0,1396.5,1397.9,20789330,2026-02-17
1771317900,1397.5,1400.4,1388.1,1391.5,24312639,2026-02-17
1771321500,1391.4,1391.9,1388.9,1391.2,25344362,2026-02-17
1771386300,1390.9,1396.8,1345.3,1353.1,7395710,2026-02-18
1771389900,1353.5,1365.9,1350.2,1365.5,11026957,2026-02-18
1771393500,1365.6,1375.2,1360.3,1369.2,13845703,2026-02-18
1771397100,1369.4,1371.9,1365.2,1369.9,15064168,2026-02-18
1771400700,1370.0,1374.2,1366.2,1373.6,16439072,2026-02-18
1771404300,1373.9,1375.5,1369.2,1373.9,19409943,2026-02-18
1771407900,1373.8,1374.5,1371.0,1372.0,20240360,2026-02-18
1771472700,1385.0,1401.5,1382.4,1396.2,3392988,2026-02-19
1771476300,1396.1,1401.9,1387.1,1392.0,6268570,2026-02-19
1771479900,1392.1,1394.3,1381.3,1381.8,7926403,2026-02-19
1771483500,1381.3,1388.8,1380.0,1382.5,9480557,2026-02-19
1771487100,1382.6,1386.9,1380.6,1384.6,10572586,2026-02-19
1771490700,1384.7,1388.0,1367.3,1367.8,13471336,2026-02-19
1771494300,1368.0,1369.0,1363.6,1366.5,14572943,2026-02-19
1771559100,1359.2,1359.2,1338.3,1355.2,3964669,2026-02-20
1771562700,1355.3,1365.0,1355.3,1357.0,5545908,2026-02-20
1771566300,1357.3,1362.4,1355.0,1357.5,6461747,2026-02-20
1771569900,1357.4,1361.7,1354.1,1356.6,7436805,2026-02-20
1771573500,1356.5,1360.4,1352.9,1357.1,9049902,2026-02-20
1771577100,1357.5,1363.5,1351.2,1352.8,11864548,2026-02-20
1771580700,1352.7,1353.7,1350.2,1352.5,12631527,2026-02-20
1771818300,1352.0,1352.0,1329.0,1333.6,3737455,2026-02-23
1771821900,1333.7,1334.5,1322.0,1329.0,5878345,2026-02-23
1771825500,1328.7,1331.0,1318.4,1326.0,7494858,2026-02-23
1771829100,1326.1,1329.3,1325.0,1326.1,8420108,2026-02-23
1771832700,1326.6,1328.9,1322.4,1327.5,9523242,2026-02-23
1771836300,1327.4,1332.7,1325.3,1325.5,11585363,2026-02-23
1771839900,1325.4,1329.5,1324.6,1328.0,12886566,2026-02-23
1771904700,1301.0,1301.0,1277.1,1280.6,6868711,2026-02-24
1771908300,1280.5,1287.2,1277.8,1282.1,9808737,2026-02-24
1771911900,1282.0,1282.3,1269.0,1272.7,12765491,2026-02-24
1771915500,1272.8,1274.5,1265.0,1270.8,16190359,2026-02-24
1771919100,1270.7,1277.8,1268.6,1275.1,19825145,2026-02-24
1771922700,1275.0,1277.6,1270.2,1277.2,26006678,2026-02-24
1771926300,1277.4,1280.4,1275.2,1280.4,27838179,2026-02-24
1771991100,1286.2,1323.5,1286.2,1319.9,7689406,2026-02-25
1771994700,1320.0,1322.5,1304.2,1307.1,9527391,2026-02-25
1771998300,1307.4,1308.8,1302.0,1308.0,10678846,2026-02-25
1772001900,1308.1,1309.5,1291.1,1292.8,12200687,2026-02-25
1772005500,1292.7,1294.5,1286.6,1294.3,13243969,2026-02-25
1772009100,1294.1,1298.1,1289.0,1289.8,15756758,2026-02-25
1772012700,1289.9,1291.3,1287.5,1289.9,16664887,2026-02-25
1772077500,1305.5,1314.0,1300.0,1308.8,2893599,2026-02-26
1772081100,1308.7,1309.0,1295.4,1299.1,4060071,2026-02-26
1772084700,1299.0,1301.5,1294.3,1298.0,5112478,2026-02-26
1772088300,1298.2,1299.3,1287.7,1288.3,6790803,2026-02-26
1772091900,1288.4,1293.4,1286.3,1292.0,8377364,2026-02-26
1772095500,1291.9,1295.0,1287.8,1288.0,10563549,2026-02-26
1772099100,1288.2,1291.0,1287.5,1291.0,11492370,2026-02-26
1772163900,1326.3,1335.0,1302.4,1303.2,4316283,2026-02-27
1772167500,1303.1,1307.7,1301.0,1306.1,5115789,2026-02-27
1772171100,1306.0,1311.1,1304.1,1305.7,5994376,2026-02-27
1772174700,1305.6,1307.9,1302.5,1306.4,6724216,2026-02-27
1772178300,1306.6,1315.0,1304.5,1307.7,8233583,2026-02-27
1772181900,1307.6,1307.7,1297.8,1300.5,16920872,2026-02-27
1772185500,1300.6,1302.4,1296.6,1299.0,23139791,2026-02-27
1772423100,1291.0,1298.8,1285.0,1295.4,2396093,2026-03-02
1772426700,1295.6,1297.0,1291.5,1291.8,2902169,2026-03-02
1772430300,1291.4,1292.0,1274.0,1277.4,3959921,2026-03-02
1772433900,1277.3,1279.8,1273.0,1276.8,4823779,2026-03-02
1772437500,1276.7,1284.9,1274.0,1284.7,5917448,2026-03-02
1772441100,1284.5,1291.3,1281.6,1289.8,8621250,2026-03-02
1772444700,1289.7,1291.2,1286.6,1288.3,9699582,2026-03-02
1772595900,1292.0,1317.0,1292.0,1308.6,4292649,2026-03-04
1772599500,1308.9,1310.0,1298.2,1308.5,6067065,2026-03-04
1772603100,1308.6,1309.0,1297.5,1302.3,7177916,2026-03-04
1772606700,1302.0,1305.0,1299.1,1304.7,8013168,2026-03-04
1772610300,1304.6,1305.1,1295.4,1303.4,9800603,2026-03-04
1772613900,1303.9,1314.9,1302.7,1307.3,13818865,2026-03-04
1772617500,1307.2,1307.6,1305.3,1306.1,15153408,2026-03-04
1772682300,1320.0,1320.0,1296.4,1297.1,1942134,2026-03-05
1772685900,1297.0,1297.1,1290.3,1293.5,3261504,2026-03-05
1772689500,1293.6,1299.4,1290.2,1298.8,4930438,2026-03-05
1772693100,1298.1,1302.0,1295.4,1300.7,6045425,2026-03-05
1772696700,1300.9,1303.8,1296.3,1298.2,7198314,2026-03-05
1772700300,1297.7,1311.2,1297.0,1303.9,9645758,2026-03-05
1772703900,1304.0,1306.1,1301.2,1305.3,10360634,2026-03-05
1772768700,1303.0,1326.5,1303.0,1319.0,2008364,2026-03-06
1772772300,1318.9,1320.9,1315.0,1316.5,3149195,2026-03-06
1772775900,1316.4,1316.8,1311.2,1312.9,4446007,2026-03-06
1772779500,1313.0,1315.6,1307.5,1308.0,5131309,2026-03-06
1772783100,1307.9,1311.8,1305.4,1310.0,6335614,2026-03-06
1772786700,1310.1,1314.5,1305.5,1309.9,8027234,2026-03-06
1772790300,1310.0,1312.4,1306.6,1311.0,8720169,2026-03-06
1773027900,1290.0,1300.7,1282.5,1292.4,2575911,2026-03-09
1773031500,1292.2,1301.8,1291.2,1296.6,3539956,2026-03-09
1773035100,1296.7,1304.8,1294.1,1296.5,5470117,2026-03-09
1773038700,1296.4,1302.9,1293.1,1300.9,6833146,2026-03-09
1773042300,1301.3,1306.0,1299.5,1304.8,7778051,2026-03-09
1773045900,1304.6,1317.0,1301.4,1315.7,9367157,2026-03-09
1773049500,1315.6,1317.0,1314.0,1315.1,10067678,2026-03-09
1773114300,1320.0,1320.0,1294.0,1298.4,2063444,2026-03-10
1773117900,1298.2,1302.0,1295.2,1297.1,2684466,2026-03-10
1773121500,1297.2,1298.0,1290.2,1290.7,3440701,2026-03-10
1773125100,1290.6,1292.7,1284.3,1288.8,5212934,2026-03-10
1773128700,1289.1,1296.0,1287.5,1293.4,6254894,2026-03-10
1773132300,1293.3,1298.0,1291.2,1295.1,8821668,2026-03-10
1773135900,1295.3,1298.0,1294.8,1296.5,9593406,2026-03-10
1773200700,1288.0,1299.5,1282.0,1283.3,2389982,2026-03-11
1773204300,1283.1,1286.5,1282.0,1285.0,2968234,2026-03-11
1773207900,1285.2,1285.3,1282.2,1283.8,3434438,2026-03-11
1773211500,1283.9,1285.0,1277.7,1279.9,4462994,2026-03-11
1773215100,1279.8,1282.0,1277.6,1280.0,5403395,2026-03-11
1773218700,1279.9,1282.0,1275.3,1277.1,6774928,2026-03-11
1773222300,1277.2,1278.0,1271.6,1275.8,7867800,2026-03-11
1773287100,1272.5,1272.5,1260.2,1261.9,1729619,2026-03-12
1773290700,1261.4,1275.7,1258.0,1273.3,2514367,2026-03-12
1773294300,1273.2,1278.6,1269.5,1274.3,3156693,2026-03-12
1773297900,1274.4,1275.1,1268.8,1271.6,3805260,2026-03-12
1773301500,1271.7,1275.0,1268.5,1271.7,4712544,2026-03-12
1773305100,1271.5,1273.3,1260.4,1265.5,6721292,2026-03-12
1773308700,1265.7,1268.0,1263.2,1265.0,7598838,2026-03-12
1773373500,1251.0,1256.6,1248.1,1256.2,1375061,2026-03-13
1773377100,1256.3,1269.6,1255.9,1261.2,2378715,2026-03-13
1773380700,1261.5,1266.8,1260.1,1263.0,2809444,2026-03-13
1773384300,1263.1,1264.2,1253.0,1253.0,3395185,2026-03-13
1773387900,1253.6,1253.8,1248.1,1252.1,4609439,2026-03-13
1773391500,1252.2,1253.3,1247.5,1248.0,6554966,2026-03-13
1773395100,1247.9,1252.3,1243.3,1250.4,7365621,2026-03-13
1773632700,1240.2,1253.6,1236.0,1238.1,1757300,2026-03-16
1773636300,1238.0,1238.0,1225.2,1229.9,2870510,2026-03-16
1773639900,1230.2,1233.3,1224.8,1227.5,3475542,2026-03-16
1773643500,1227.7,1232.5,1225.6,1230.5,4635341,2026-03-16
