Symbol,Side,Method,Preset,Sample,target_pct,R_mult,atr_mult,atr_pct_med,avg_price,listing_age_y,n_trades,n_target,n_sl,n_open,win_rate,mean_pnl,median_pnl,total_pnl,expectancy,max_dd,avg_win,avg_loss,profit_factor
360ONE,BUY,target_pct,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,7,3,4,0,0.42857142857142855,-0.7378223364728024,-1.8101116582287353,-5.164756355309617,-0.7378223364728025,8.169926304012746,3.0,-3.5411890888274042,0.635379795758109
360ONE,BUY,target_pct,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,1,1,0,0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,inf
360ONE,BUY,target_pct,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,-0.27059454441370223,0.5949441708856323,-2.164756355309618,-0.2705945444137021,8.169926304012746,3.0,-3.5411890888274042,0.8471730610108119
360ONE,SELL,target_pct,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,0.6093324642239608,1.2130559540889485,2.4373298568958432,0.6093324642239608,3.5626701431041568,3.0,-1.7813350715520784,1.684130093158778
360ONE,SELL,target_pct,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,7,1,0,0.875,1.875407127119457,3.0,15.003257016955656,1.875407127119457,5.996742983044344,3.0,-5.996742983044344,3.501900958466459
360ONE,SELL,target_pct,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,12,9,3,0,0.75,1.453382239487625,3.0,17.4405868738515,1.4533822394876248,5.996742983044344,3.0,-3.1864710420495004,2.8244411705719776
360ONE,BUY,R,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,7,1,6,0,0.14285714285714285,-2.3462895466572626,-2.9899081186925778,-16.424026826600837,-2.3462895466572626,19.219946080934058,6.980637647401359,-3.9007774123336993,0.29825839439635726
360ONE,BUY,R,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,R,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,1,7,0,0.125,-3.1469955607908555,-3.587313255880357,-25.175964486326844,-3.146995560790856,20.99124609325871,6.980637647401359,-4.593800304818315,0.2170825642078506
360ONE,SELL,R,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,1.2338142606550635,0.9604165546989465,4.935257042620254,1.2338142606550635,3.5626701431041568,4.248963592862205,-1.7813350715520784,2.3852691504917605
360ONE,SELL,R,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,-0.17129616344685772,-0.5765594441061337,-1.3703693075748618,-0.17129616344685772,25.31877089130952,9.241438340471628,-9.584030667365344,0.9642538365345303
360ONE,SELL,R,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,12,6,6,0,0.5,0.2970739779204495,0.9604165546989465,3.564887735045394,0.29707397792044965,25.31877089130952,7.577280091268488,-6.983132135427589,1.085083304213392
360ONE,BUY,ATR,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,7,2,5,0,0.2857142857142857,-0.4338233079265912,-1.9175178261707437,-3.0367631554861383,-0.43382330792659163,12.96994608093406,7.058950659258029,-3.4309328948004394,0.8229774088506169
360ONE,BUY,ATR,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,ATR,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,2,6,0,0.25,-1.4735876019015182,-2.453712972431661,-11.788700815212145,-1.4735876019015186,12.96994608093406,7.058950659258029,-4.317767022288034,0.5449538015692048
360ONE,SELL,ATR,Tight,IS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,1.0865892686887215,1.5789696770505697,4.346357074754886,1.0865892686887215,3.5626701431041568,3.9545136089295214,-1.7813350715520784,2.219971790868043
360ONE,SELL,ATR,Tight,OOS,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,1.0466073273886423,2.1701514402215,8.372858619109138,1.0466073273886427,21.992506556155043,7.591341293816045,-5.49812663903876,1.3807141581488278
360ONE,SELL,ATR,Tight,ALL,3.0,1.5,1.5,4.000795758200244,864.7961313868615,2.8281998631074607,12,6,6,0,0.5,1.0599346411553354,1.5789696770505697,12.719215693864026,1.0599346411553356,21.99250655615504,6.379065398853871,-4.259196116543199,1.4977158187379207
360ONE,BUY,target_pct,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,2,5,0,0.2857142857142857,-1.0220949248574567,-1.9175178261707437,-7.154664474002196,-1.022094924857457,12.96994608093406,5.0,-3.4309328948004394,0.5829318326309995
360ONE,BUY,target_pct,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,target_pct,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,2,6,0,0.25,-1.9883252667160254,-2.453712972431661,-15.906602133728203,-1.9883252667160258,12.96994608093406,5.0,-4.317767022288034,0.38600199085857134
360ONE,SELL,target_pct,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,1.6093324642239608,2.2130559540889485,6.437329856895843,1.6093324642239608,3.5626701431041568,5.0,-1.7813350715520784,2.806883488597963
360ONE,SELL,target_pct,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,6,2,0,0.75,2.3220941035094036,5.0,18.57675282807523,2.3220941035094036,11.423247171924768,5.0,-5.711623585962385,2.626223485186579
360ONE,SELL,target_pct,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,12,8,4,0,0.6666666666666666,2.0845068904142563,5.0,25.014082684971076,2.0845068904142554,11.423247171924768,5.0,-3.7464793287572316,2.6691726077979356
360ONE,BUY,R,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,1,6,0,0.14285714285714285,-2.0138782301143405,-2.9899081186925778,-14.097147610800384,-2.013878230114341,19.219946080934058,9.307516863201812,-3.9007774123336993,0.39767785919514304
360ONE,BUY,R,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,R,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,1,7,0,0.125,-2.856135658815799,-3.587313255880357,-22.84908527052639,-2.8561356588157993,19.219946080934058,9.307516863201812,-4.593800304818315,0.2894434189438008
360ONE,SELL,R,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,1.9419748594654311,1.3762034215689458,7.7678994378617245,1.9419748594654314,3.5626701431041576,5.665284790482941,-1.7813350715520784,3.1803588673223477
360ONE,SELL,R,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,1.3689435599650803,0.13567143933855919,10.951548479720643,1.3689435599650803,20.979653631925572,12.321917787295504,-9.584030667365344,1.2856717820460406
360ONE,SELL,R,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,12,6,6,0,0.5,1.559953993131864,1.3762034215689458,18.719447917582368,1.559953993131864,20.97965363192557,10.103040121691317,-6.983132135427589,1.4467777389511893
360ONE,BUY,ATR,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,1,6,0,0.14285714285714285,-1.996940901404192,-2.9899081186925778,-13.978586309829343,-1.996940901404192,19.219946080934058,9.426078164172853,-3.9007774123336993,0.4027435716774877
360ONE,BUY,ATR,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,ATR,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,1,7,0,0.125,-2.8413154961944187,-3.587313255880357,-22.73052396955535,-2.841315496194419,19.219946080934058,9.426078164172853,-4.593800304818315,0.293130416110914
360ONE,SELL,ATR,Normal,IS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,1.745674870176972,2.2009409180377744,6.982699480707888,1.745674870176972,3.5626701431041568,5.272684811906022,-1.7813350715520784,2.959962387824054
360ONE,SELL,ATR,Normal,OOS,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,2.311830876357983,3.368355842591794,18.494647010863865,2.3118308763579836,21.99250655615504,10.121788391754727,-5.49812663903876,1.8409522108651037
360ONE,SELL,ATR,Normal,ALL,5.0,2.0,2.0,4.000795758200244,864.7961313868615,2.8281998631074607,12,6,6,0,0.5,2.1231122076309794,2.2009409180377744,25.477346491571755,2.12311220763098,21.99250655615504,8.505420531805159,-4.259196116543199,1.996954424983894
360ONE,BUY,target_pct,Loose,IS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,2,5,0,0.2857142857142857,-0.16495206771459944,-1.9175178261707437,-1.154664474002196,-0.1649520677145997,12.96994608093406,8.0,-3.4309328948004394,0.9326909322095991
360ONE,BUY,target_pct,Loose,OOS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,target_pct,Loose,ALL,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,2,6,0,0.25,-1.2383252667160254,-2.453712972431661,-9.906602133728203,-1.2383252667160258,12.96994608093406,8.0,-4.317767022288034,0.6176031853737142
360ONE,SELL,target_pct,Loose,IS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,4,2,2,0,0.5,3.109332464223961,3.7130559540889485,12.437329856895843,3.109332464223961,3.5626701431041568,8.0,-1.7813350715520784,4.491013581756741
360ONE,SELL,target_pct,Loose,OOS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,4,4,0,0.5,1.2509366804806197,2.5755382331106143,10.007493443844957,1.2509366804806201,21.992506556155043,8.0,-5.49812663903876,1.4550410576571666
360ONE,SELL,target_pct,Loose,ALL,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,12,6,6,0,0.5,1.8704019417284004,3.7130559540889485,22.444823300740804,1.8704019417284004,21.99250655615504,8.0,-4.259196116543199,1.878288714841539
360ONE,BUY,R,Loose,IS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,0,7,0,0.0,-4.008346129371872,-4.184718393068136,-28.058422905603102,-4.008346129371872,23.873704512534964,0.0,-4.008346129371872,0.0
360ONE,BUY,R,Loose,OOS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,R,Loose,ALL,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,0,8,0,0.0,-4.601295070666139,-4.419238412334521,-36.81036056532911,-4.601295070666139,32.625642172260974,0.0,-4.601295070666139,0.0
360ONE,SELL,R,Loose,IS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,4,1,3,0,0.25,-0.6438412659167772,-1.7813350715520784,-2.5753650636671086,-0.6438412659167769,7.5648074661071005,4.989442402439992,-2.5216024887023667,0.6595597343084254
360ONE,SELL,R,Loose,OOS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,0,8,0,0.0,-7.872494780506548,-6.451742221763585,-62.97995824405238,-7.872494780506548,56.073216783569556,0.0,-7.872494780506548,0.0
360ONE,SELL,R,Loose,ALL,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,12,1,11,0,0.08333333333333333,-5.462943608976624,-5.6279075869347785,-65.55532330771949,-5.462943608976625,70.54476571015948,4.989442402439992,-6.413160519105409,0.07072732260448117
360ONE,BUY,ATR,Loose,IS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,7,0,7,0,0.0,-4.008346129371872,-4.184718393068136,-28.058422905603102,-4.008346129371872,23.873704512534964,0.0,-4.008346129371872,0.0
360ONE,BUY,ATR,Loose,OOS,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,1,0,1,0,0.0,-8.751937659726009,-8.751937659726009,-8.751937659726009,-8.751937659726009,0.0,0.0,-8.751937659726009,0.0
360ONE,BUY,ATR,Loose,ALL,8.0,3.0,3.0,4.000795758200244,864.7961313868615,2.8281998631074607,8,0,8,0,0.0,-4.601295070666139,-4.419238412334521,-36.81036056532911,-4.601295070666139,32.625642172260974,0.0,-4.601295070666139,0.0
